name,position,team,round,pick,overall
Drake London,WR,ATL,1,8,8
Garrett Wilson,WR,NYJ,1,10,10
Chris Olave,WR,NO,1,11,11
Jameson Williams,WR,DET,1,12,12
Jahan Dotson,WR,WSH,1,16,16
Treylon Burks,WR,TEN,1,18,18
Kenny Pickett,QB,PIT,1,20,20
Christian Watson,WR,GB,2,2,34
Breece Hall,RB,NYJ,2,4,36
Ken Walker III,RB,SEA,2,9,41
Wan'Dale Robinson,WR,NYG,2,11,43
John Metchie III,WR,HOU,2,12,44
Tyquan Thornton,WR,NE,2,18,50
George Pickens,WR,PIT,2,20,52
Alec Pierce,WR,IND,2,21,53
Skyy Moore,WR,KC,2,22,54
Trey McBride,TE,ARI,2,23,55
James Cook,RB,BUF,2,31,63
Velus Jones Jr.,WR,CHI,3,7,71
Jelani Woods,TE,IND,3,9,73
Desmond Ridder,QB,ATL,3,10,74
Greg Dulcich,TE,DEN,3,16,80
Malik Willis,QB,TEN,3,22,86
Jalen Tolbert,WR,DAL,3,24,88
Rachaad White,RB,TB,3,27,91
Tyrion Davis-Price,RB,SF,3,29,93
Matt Corral,QB,CAR,3,30,94
Brian Robinson Jr.,RB,WSH,3,34,98
David Bell,WR,CLE,3,35,99
Jeremy Ruckert,TE,NYJ,3,37,101
Danny Gray,WR,SF,3,41,105
Cade Otton,TE,TB,4,1,106
Dameon Pierce,RB,HOU,4,2,107
Daniel Bellinger,TE,NYG,4,7,112
Zamir White,RB,LV,4,17,122
Isaiah Spiller,RB,LAC,4,18,123
Cade York,K,CLE,4,19,124
Erik Ezukanma,WR,MIA,4,20,125
Pierre Strong Jr.,RB,NE,4,22,127
Charlie Kolar,TE,BAL,4,23,128
Jake Ferguson,TE,DAL,4,24,129
Hassan Haskins,RB,TEN,4,26,131
Romeo Doubs,WR,GB,4,27,132
Bailey Zappe,QB,NE,4,32,137
Calvin Austin III,WR,PIT,4,33,138
Isaiah Likely,TE,BAL,4,34,139
Chigoziem Okonkwo,TE,TEN,4,38,143
Sam Howell,QB,WSH,5,1,144
Khalil Shakir,WR,BUF,5,5,148
Cole Turner,TE,WSH,5,6,149
Tyler Allgeier,RB,ATL,5,8,151
Snoop Conner,RB,JAX,5,11,154
Jerome Ford,RB,CLE,5,13,156
Montrell Washington,WR,DEN,5,19,162
Kyle Philips,WR,TEN,5,20,163
Kyren Williams,RB,LAR,5,21,164
Ty Chandler,RB,MIN,5,26,169
Teagan Quitoriano,TE,HOU,5,27,170
James Mitchell,TE,DET,5,34,177
Kevin Harris,RB,NE,6,4,183
Jalen Nailor,WR,MIN,6,12,191
Andrew Ogletree,TE,IND,6,13,192
Tyler Badie,RB,BAL,6,18,196
Grant Calcaterra,TE,PHI,6,20,198
Keaontay Ingram,RB,ARI,6,23,201
Michael Woods II,WR,CLE,6,24,202
Trestan Ebner,RB,CHI,6,25,203
John FitzPatrick,TE,ATL,6,35,213
Ko Kieft,TE,TB,6,40,218
Nick Muse,TE,MIN,7,6,227
Bo Melton,WR,SEA,7,8,229
Dareke Young,WR,SEA,7,12,233
Chris Oladokun,QB,PIT,7,20,241
Skylar Thompson,QB,MIA,7,26,247
Brittain Brown,RB,LV,7,29,250
Isaih Pacheco,RB,KC,7,30,251
Samori Toure,WR,GB,7,37,258
Brock Purdy,QB,SF,7,41,262
