name,position,team,pass_yds,pass_td,rush_yds,rush_td,rec,rec_yds,rec_td,return_td,off_fumble_return_td,two_pt,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50_plus,pat_made,def_td,def_safety,def_return_td,def_xp_returned,def_points_allowed
A.J. Brown,WR,TEN,0.0,0.0,0.0,0.0,70.0,1075.0,11.0,1.0,0,0.0,,,,,,,,,,,
A.J. Green,WR,ARI,0.0,0.0,0.0,0.0,47.0,523.0,2.0,0.0,0,0.0,,,,,,,,,,,
AJ Dillon,RB,GB,0.0,0.0,242.0,2.0,2.0,21.0,0.0,0.0,0,0.0,,,,,,,,,,,
AJ McCarron,QB,HOU,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Aaron Jones Sr.,RB,GB,0.0,0.0,1104.0,9.0,47.0,355.0,2.0,0.0,0,0.0,,,,,,,,,,,
Aaron Rodgers,QB,GB,4299.0,48.0,149.0,3.0,1.0,-6.0,0.0,0.0,0,0.0,,,,,,,,,,,
Adam Humphries,WR,TEN,0.0,0.0,0.0,0.0,23.0,228.0,2.0,0.0,0,0.0,,,,,,,,,,,
Adam Shaheen,TE,MIA,0.0,0.0,0.0,0.0,12.0,150.0,3.0,0.0,0,0.0,,,,,,,,,,,
Adam Thielen,WR,MIN,0.0,0.0,15.0,0.0,74.0,925.0,14.0,0.0,0,1.0,,,,,,,,,,,
Adam Trautman,TE,NO,0.0,0.0,0.0,0.0,15.0,171.0,1.0,0.0,0,0.0,,,,,,,,,,,
Adrian Peterson,RB,DET,0.0,0.0,604.0,7.0,12.0,101.0,0.0,0.0,0,0.0,,,,,,,,,,,
Albert Okwuegbunam Jr.,TE,DEN,0.0,0.0,0.0,0.0,11.0,121.0,1.0,0.0,0,0.0,,,,,,,,,,,
Aldrick Rosas,K,JAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,2.0,0.0,3.0,9.0,,,,,
Alex Collins,RB,SEA,0.0,0.0,77.0,2.0,1.0,4.0,0.0,0.0,0,0.0,,,,,,,,,,,
Alex Erickson,WR,CIN,0.0,0.0,7.0,0.0,12.0,139.0,0.0,0.0,0,0.0,,,,,,,,,,,
Alex Smith,QB,WSH,1582.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Alexander Mattison,RB,MIN,0.0,0.0,434.0,2.0,13.0,125.0,1.0,0.0,0,0.0,,,,,,,,,,,
Alfred Morris,RB,NYG,0.0,0.0,238.0,1.0,3.0,19.0,1.0,0.0,0,0.0,,,,,,,,,,,
Allen Lazard,WR,GB,0.0,0.0,17.0,0.0,33.0,451.0,3.0,0.0,0,0.0,,,,,,,,,,,
Alshon Jeffery,WR,PHI,0.0,0.0,0.0,0.0,6.0,115.0,1.0,0.0,0,0.0,,,,,,,,,,,
Alvin Kamara,RB,NO,0.0,0.0,932.0,16.0,83.0,756.0,5.0,0.0,0,0.0,,,,,,,,,,,
Amari Cooper,WR,DAL,0.0,0.0,14.0,0.0,92.0,1114.0,5.0,0.0,0,1.0,,,,,,,,,,,
Ameer Abdullah,RB,MIN,0.0,0.0,42.0,0.0,8.0,58.0,2.0,0.0,0,0.0,,,,,,,,,,,
Andy Dalton,QB,PHI,2169.0,14.0,114.0,0.0,1.0,-3.0,0.0,0.0,0,0.0,,,,,,,,,,,
Andy Isabella,WR,ARI,0.0,0.0,-6.0,0.0,21.0,224.0,2.0,0.0,0,0.0,,,,,,,,,,,
Anthony McFarland Jr.,RB,PIT,0.0,0.0,113.0,0.0,6.0,54.0,0.0,0.0,0,0.0,,,,,,,,,,,
