name,position,team,games_played,pass_yds,pass_td,pass_att,pass_cmp,pass_int,rush_yds,rush_td,carries,rec,rec_yds,rec_td,targets,return_td,off_fumble_return_td,two_pt,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50_plus,fg_60_plus,pat_made,def_td,def_safety,def_return_td,def_xp_returned,def_points_allowed
A.J. Derby,TE,DEN,7,0,0,0,0,0,0,0,0,16,160,0,20,0,0,0,0,0,0,0,0,0,0,,,,,
A.J. Green,WR,CIN,10,0,0,0,0,0,0,0,0,66,964,4,100,0,0,0,0,0,0,0,0,0,0,,,,,
Aaron Burbridge,WR,SF,15,0,0,0,0,0,0,0,0,7,88,0,16,0,0,0,0,0,0,0,0,0,0,,,,,
Aaron Rodgers,QB,GB,16,4428,40,610,401,7,369,4,67,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,,
Adam Humphries,WR,TB,15,0,0,0,0,0,18,0,5,55,622,2,83,0,0,1,0,0,0,0,0,0,0,,,,,
Adam Thielen,WR,MIN,16,0,0,0,0,0,15,0,2,69,967,5,92,0,0,0,0,0,0,0,0,0,0,,,,,
Adam Vinatieri,K,IND,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,7,0,44,,,,,
Adrian Peterson,RB,MIN,3,0,0,0,0,0,72,0,37,3,8,0,6,0,0,0,0,0,0,0,0,0,0,,,,,
Akeem Hunt,RB,HOU,8,0,0,0,0,0,109,0,20,3,29,0,4,0,0,0,0,0,0,0,0,0,0,,,,,
Alan Cross,TE,TB,11,0,0,0,0,0,0,0,0,6,38,1,10,0,0,0,0,0,0,0,0,0,0,,,,,
Albert Wilson,WR,KC,14,0,0,0,0,0,50,1,2,31,279,2,51,0,0,0,0,0,0,0,0,0,0,,,,,
Aldrick Robinson,WR,ATL,13,0,0,0,0,0,0,0,0,20,323,2,32,0,0,0,0,0,0,0,0,0,0,,,,,
Alex Collins,RB,SEA,9,0,0,0,0,0,125,1,31,11,84,0,11,0,0,0,0,0,0,0,0,0,0,,,,,
Alex Ellis,TE,JAX,5,0,0,0,0,0,0,0,0,3,11,0,4,0,0,0,0,0,0,0,0,0,0,,,,,
Alex Erickson,WR,CIN,16,0,0,0,0,0,0,0,0,6,71,0,8,0,0,0,0,0,0,0,0,0,0,,,,,
Alex Smith,QB,KC,15,3502,15,489,328,8,134,5,48,1,3,0,1,0,0,2,0,0,0,0,0,0,0,,,,,
Alfred Blue,RB,HOU,14,0,0,0,0,0,420,1,100,12,40,0,16,0,0,0,0,0,0,0,0,0,0,,,,,
Alfred Morris,RB,DAL,14,0,0,0,0,0,243,2,69,3,11,0,6,0,0,0,0,0,0,0,0,0,0,,,,,
Allen Hurns,WR,JAX,11,0,0,0,0,0,0,0,0,35,477,3,76,0,0,0,0,0,0,0,0,0,0,,,,,
Allen Robinson,WR,JAX,16,0,0,0,0,0,0,0,0,73,883,6,151,0,0,1,0,0,0,0,0,0,0,,,,,
