week,gameday,gametime,away_team,home_team,location
1,2017-09-07,20:30,KC,NE,Home
1,2017-09-10,13:00,NYJ,BUF,Home
1,2017-09-10,13:00,ATL,CHI,Home
1,2017-09-10,13:00,BAL,CIN,Home
1,2017-09-10,13:00,PIT,CLE,Home
1,2017-09-10,13:00,ARI,DET,Home
1,2017-09-10,13:00,JAX,HOU,Home
1,2017-09-10,13:00,OAK,TEN,Home
1,2017-09-10,13:00,PHI,WAS,Home
1,2017-09-10,16:05,IND,LA,Home
1,2017-09-10,16:25,SEA,GB,Home
1,2017-09-10,16:25,CAR,SF,Home
1,2017-09-10,20:30,NYG,DAL,Home
1,2017-09-11,19:10,NO,MIN,Home
1,2017-09-11,22:20,LAC,DEN,Home
2,2017-09-14,20:25,HOU,CIN,Home
2,2017-09-17,13:00,CLE,BAL,Home
2,2017-09-17,13:00,BUF,CAR,Home
2,2017-09-17,13:00,ARI,IND,Home
2,2017-09-17,13:00,TEN,JAX,Home
2,2017-09-17,13:00,PHI,KC,Home
2,2017-09-17,13:00,NE,NO,Home
2,2017-09-17,13:00,MIN,PIT,Home
2,2017-09-17,13:00,CHI,TB,Home
2,2017-09-17,16:05,MIA,LAC,Home
2,2017-09-17,16:05,NYJ,OAK,Home
2,2017-09-17,16:25,DAL,DEN,Home
2,2017-09-17,16:25,WAS,LA,Home
2,2017-09-17,16:25,SF,SEA,Home
2,2017-09-17,20:30,GB,ATL,Home
2,2017-09-18,20:30,DET,NYG,Home
3,2017-09-21,20:25,LA,SF,Home
3,2017-09-24,13:00,DEN,BUF,Home
3,2017-09-24,13:00,NO,CAR,Home
3,2017-09-24,13:00,PIT,CHI,Home
3,2017-09-24,13:00,ATL,DET,Home
3,2017-09-24,13:00,CLE,IND,Home
3,2017-09-24,13:00,TB,MIN,Home
3,2017-09-24,13:00,HOU,NE,Home
3,2017-09-24,13:00,MIA,NYJ,Home
3,2017-09-24,13:00,NYG,PHI,Home
3,2017-09-24,16:05,SEA,TEN,Home
3,2017-09-24,16:25,CIN,GB,Home
3,2017-09-24,16:25,KC,LAC,Home
3,2017-09-24,20:30,OAK,WAS,Home
3,2017-09-24,21:30,BAL,JAX,Neutral
3,2017-09-25,20:30,DAL,ARI,Home
4,2017-09-28,20:25,CHI,GB,Home
4,2017-10-01,13:00,BUF,ATL,Home
4,2017-10-01,13:00,PIT,BAL,Home
4,2017-10-01,13:00,CIN,CLE,Home
4,2017-10-01,13:00,LA,DAL,Home
4,2017-10-01,13:00,TEN,HOU,Home
4,2017-10-01,13:00,DET,MIN,Home
4,2017-10-01,13:00,CAR,NE,Home
4,2017-10-01,13:00,JAX,NYJ,Home
4,2017-10-01,16:05,SF,ARI,Home
4,2017-10-01,16:05,PHI,LAC,Home
4,2017-10-01,16:05,NYG,TB,Home
4,2017-10-01,16:25,OAK,DEN,Home
4,2017-10-01,20:30,IND,SEA,Home
4,2017-10-01,21:30,NO,MIA,Neutral
