name,position,team,games_played,pass_yds,pass_td,rush_yds,rush_td,rec,rec_yds,rec_td,return_td,off_fumble_return_td,two_pt,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50_plus,pat_made,def_td,def_safety,def_return_td,def_xp_returned,def_points_allowed
Michael Wilson,WR,ARI,17.0,0.0,0.0,0.0,0.0,78.0,1006.0,7.0,0.0,0,0.0,,,,,,,,,,,
Mike Evans,WR,SF,8.0,0.0,0.0,0.0,0.0,30.0,368.0,3.0,0.0,0,0.0,,,,,,,,,,,
Mike Gesicki,TE,CIN,13.0,0.0,0.0,0.0,0.0,28.0,307.0,2.0,0.0,0,0.0,,,,,,,,,,,
Miles Sanders,RB,DAL,4.0,0.0,0.0,117.0,1.0,8.0,30.0,0.0,0.0,0,0.0,,,,,,,,,,,
Minnesota Vikings,DEF,MIN,,,,,,,,,,,,,,,,,,0,0,0,0,333.0
Mitchell Evans,TE,CAR,17.0,0.0,0.0,1.0,0.0,19.0,171.0,2.0,0.0,0,0.0,,,,,,,,,,,
Mitchell Tinsley,WR,CIN,17.0,0.0,0.0,0.0,0.0,8.0,116.0,2.0,0.0,0,0.0,,,,,,,,,,,
Mo Alie-Cox,TE,IND,17.0,0.0,0.0,0.0,0.0,13.0,117.0,1.0,0.0,0,0.0,,,,,,,,,,,
Najee Harris,RB,LAC,3.0,0.0,0.0,61.0,,3.0,25.0,,,0,,,,,,,,,,,,
Nathan Carter,RB,ATL,7.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
New England Patriots,DEF,NE,,,,,,,,,,,,,,,,,,0,0,0,0,320.0
New Orleans Saints,DEF,NO,,,,,,,,,,,,,,,,,,0,0,0,0,383.0
New York Giants,DEF,NYG,,,,,,,,,,,,,,,,,,0,0,0,0,439.0
New York Jets,DEF,NYJ,,,,,,,,,,,,,,,,,,0,0,0,0,503.0
Nick Chubb,RB,HOU,15.0,0.0,0.0,506.0,3.0,13.0,67.0,0.0,0.0,0,0.0,,,,,,,,,,,
Nick Folk,K,ATL,16.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,5.0,9.0,7.0,7.0,22.0,,,,,
Nick Westbrook-Ikhine,WR,IND,15.0,0.0,0.0,0.0,0.0,11.0,89.0,0.0,0.0,0,0.0,,,,,,,,,,,
Nico Collins,WR,HOU,15.0,0.0,0.0,15.0,1.0,71.0,1117.0,6.0,0.0,0,1.0,,,,,,,,,,,
Nikko Remigio,WR,KC,14.0,0.0,0.0,11.0,,1.0,21.0,,,0,,,,,,,,,,,,
Noah Brown,WR,WSH,4.0,0.0,0.0,0.0,,5.0,83.0,,,0,,,,,,,,,,,,
Noah Fant,TE,NO,15.0,0.0,0.0,0.0,0.0,34.0,288.0,3.0,0.0,0,0.0,,,,,,,,,,,
Noah Gray,TE,KC,16.0,0.0,0.0,0.0,0.0,21.0,178.0,0.0,0.0,0,0.0,,,,,,,,,,,
Olamide Zaccheaus,WR,ATL,16.0,0.0,0.0,25.0,0.0,39.0,313.0,2.0,0.0,0,0.0,,,,,,,,,,,
Ollie Gordon II,RB,MIA,17.0,0.0,0.0,199.0,3.0,7.0,32.0,1.0,0.0,0,0.0,,,,,,,,,,,
Omarion Hampton,RB,LAC,9.0,0.0,0.0,545.0,4.0,32.0,192.0,1.0,0.0,0,0.0,,,,,,,,,,,
Parker Romo,K,ATL,7.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,2.0,7.0,1.0,1.0,12.0,,,,,
Parker Washington,WR,JAX,16.0,0.0,0.0,0.0,0.0,58.0,847.0,5.0,0.0,0,0.0,,,,,,,,,,,
Pat Bryant,WR,DEN,15.0,0.0,0.0,0.0,0.0,31.0,378.0,1.0,0.0,0,0.0,,,,,,,,,,,
Patrick Mahomes,QB,KC,14.0,3587.0,22.0,422.0,5.0,1.0,-10.0,0.0,0.0,0,0.0,,,,,,,,,,,
Phil Mafah,RB,DAL,1.0,0.0,0.0,18.0,1.0,2.0,11.0,0.0,0.0,0,0.0,,,,,,,,,,,
Philadelphia Eagles,DEF,PHI,,,,,,,,,,,,,,,,,,0,0,0,0,325.0
Philip Rivers,QB,IND,3.0,544.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
