name,position,team,games_played,pass_yds,pass_td,rush_yds,rush_td,rec,rec_yds,rec_td,return_td,off_fumble_return_td,two_pt,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50_plus,pat_made,def_td,def_safety,def_return_td,def_xp_returned,def_points_allowed
Andre Szmyt,K,CLE,17.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,4.0,10.0,5.0,5.0,25.0,,,,,
Andrei Iosivas,WR,CIN,17.0,0.0,0.0,14.0,0.0,33.0,435.0,2.0,0.0,0,0.0,,,,,,,,,,,
Andy Borregales,K,NE,17.0,,,,0.0,,,0.0,0.0,0,0.0,2.0,6.0,8.0,7.0,4.0,53.0,,,,,
Andy Dalton,QB,PHI,4.0,293.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Antonio Gibson,RB,NE,5.0,0.0,0.0,106.0,1.0,2.0,6.0,0.0,0.0,0,0.0,,,,,,,,,,,
Arian Smith,WR,NYJ,16.0,0.0,0.0,13.0,0.0,7.0,52.0,0.0,0.0,0,0.0,,,,,,,,,,,
Arizona Cardinals,DEF,ARI,,,,,,,,,,,,,,,,,,0,0,0,0,488.0
Ashton Dulin,WR,IND,12.0,0.0,0.0,44.0,,5.0,106.0,,,0,,,,,,,,,,,,
Ashton Jeanty,RB,LV,17.0,0.0,0.0,975.0,5.0,55.0,346.0,5.0,0.0,0,0.0,,,,,,,,,,,
Atlanta Falcons,DEF,ATL,,,,,,,,,,,,,,,,,,0,0,0,0,401.0
Audric Estime,RB,NO,7.0,0.0,0.0,198.0,1.0,12.0,103.0,0.0,0.0,0,0.0,,,,,,,,,,,
Austin Ekeler,RB,WSH,2.0,0.0,0.0,43.0,,5.0,38.0,,,0,,,,,,,,,,,,
Austin Hooper,TE,ATL,16.0,0.0,0.0,0.0,0.0,21.0,263.0,2.0,0.0,0,0.0,,,,,,,,,,,
Baker Mayfield,QB,TB,17.0,3693.0,26.0,382.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Baltimore Ravens,DEF,BAL,,,,,,,,,,,,,,,,,,0,0,0,0,398.0
Bam Knight,RB,ARI,12.0,0.0,0.0,269.0,4.0,22.0,160.0,1.0,0.0,0,0.0,,,,,,,,,,,
Ben Sauls,K,NYG,3.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,3.0,4.0,1.0,0.0,7.0,,,,,
Ben Sinnott,TE,WSH,16.0,0.0,0.0,0.0,0.0,11.0,114.0,1.0,0.0,0,0.0,,,,,,,,,,,
Bhayshul Tuten,RB,JAX,15.0,0.0,0.0,307.0,5.0,10.0,79.0,2.0,0.0,0,0.0,,,,,,,,,,,
Bijan Robinson,RB,ATL,17.0,0.0,0.0,1478.0,7.0,79.0,820.0,4.0,0.0,0,1.0,,,,,,,,,,,
Blake Corum,RB,LAR,17.0,0.0,0.0,746.0,6.0,8.0,36.0,0.0,0.0,0,0.0,,,,,,,,,,,
Blake Grupe,K,IND,16.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,9.0,10.0,3.0,7.0,25.0,,,,,
Bo Melton,WR,GB,16.0,0.0,0.0,35.0,0.0,4.0,107.0,1.0,0.0,0,0.0,,,,,,,,,,,
Bo Nix,QB,DEN,17.0,3931.0,25.0,356.0,5.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Brady Cook,QB,NYJ,5.0,739.0,2.0,49.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Braelon Allen,RB,NYJ,4.0,0.0,0.0,76.0,1.0,2.0,17.0,0.0,0.0,0,0.0,,,,,,,,,,,
Brandin Cooks,WR,BUF,15.0,0.0,0.0,0.0,0.0,24.0,279.0,0.0,0.0,0,0.0,,,,,,,,,,,
Brandon Aubrey,K,DAL,17.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,10.0,5.0,10.0,11.0,47.0,,,,,
Brandon McManus,K,GB,14.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,10.0,8.0,3.0,3.0,32.0,,,,,
Brashard Smith,RB,KC,17.0,0.0,0.0,151.0,0.0,25.0,172.0,1.0,0.0,0,0.0,,,,,,,,,,,
Breece Hall,RB,NYJ,16.0,4.0,1.0,1065.0,4.0,36.0,350.0,1.0,0.0,0,0.0,,,,,,,,,,,
Brevyn Spann-Ford,TE,DAL,17.0,0.0,0.0,0.0,0.0,9.0,90.0,1.0,0.0,0,0.0,,,,,,,,,,,
Brian Robinson Jr.,RB,ATL,17.0,0.0,0.0,400.0,2.0,8.0,25.0,0.0,0.0,0,0.0,,,,,,,,,,,
Brian Thomas Jr.,WR,JAX,14.0,0.0,0.0,21.0,1.0,48.0,707.0,2.0,0.0,0,0.0,,,,,,,,,,,
British Brooks,RB,HOU,15.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Brittain Brown,RB,CHI,3.0,0.0,0.0,37.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Brock Purdy,QB,SF,9.0,2167.0,20.0,147.0,3.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Brock Wright,TE,DET,11.0,0.0,0.0,0.0,0.0,14.0,108.0,2.0,0.0,0,0.0,,,,,,,,,,,
Bryce Young,QB,CAR,16.0,3011.0,23.0,216.0,2.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Brycen Tremayne,WR,CAR,16.0,0.0,0.0,0.0,0.0,14.0,160.0,0.0,0.0,0,0.0,,,,,,,,,,,
Bucky Irving,RB,TB,10.0,0.0,0.0,588.0,1.0,30.0,277.0,3.0,0.0,0,0.0,,,,,,,,,,,
Buffalo Bills,DEF,BUF,,,,,,,,,,,,,,,,,,0,0,0,0,365.0
C.J. Stroud,QB,HOU,14.0,3041.0,19.0,209.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Cairo Santos,K,CHI,15.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,3.0,8.0,10.0,4.0,39.0,,,,,
Caleb Williams,QB,CHI,17.0,3942.0,27.0,388.0,3.0,2.0,22.0,1.0,0.0,0,0.0,,,,,,,,,,,
Calvin Austin III,WR,NYG,14.0,0.0,0.0,0.0,0.0,31.0,372.0,3.0,0.0,0,0.0,,,,,,,,,,,
Calvin Ridley,WR,TEN,7.0,0.0,0.0,0.0,,17.0,303.0,,,0,,,,,,,,,,,,
Cam Akers,RB,SEA,6.0,32.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Cam Little,K,JAX,17.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,5.0,9.0,8.0,8.0,50.0,,,,,
Cam Skattebo,RB,NYG,8.0,0.0,0.0,410.0,5.0,24.0,207.0,2.0,0.0,0,1.0,,,,,,,,,,,
Cam Ward,QB,TEN,17.0,3169.0,15.0,159.0,2.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Cameron Dicker,K,LAC,17.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,7.0,14.0,12.0,5.0,34.0,,,,,
Carolina Panthers,DEF,CAR,,,,,,,,,,,,,,,,,,0,0,0,0,380.0
Carson Wentz,QB,MIN,5.0,1216.0,6.0,57.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Casey Washington,WR,ATL,7.0,0.0,0.0,0.0,0.0,6.0,94.0,0.0,0.0,0,0.0,,,,,,,,,,,
Cedric Tillman,WR,CLE,13.0,0.0,0.0,0.0,0.0,21.0,270.0,2.0,0.0,0,0.0,,,,,,,,,,,
CeeDee Lamb,WR,DAL,14.0,0.0,0.0,2.0,0.0,75.0,1077.0,3.0,0.0,0,0.0,,,,,,,,,,,
Chad Ryland,K,ARI,17.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,5.0,7.0,7.0,6.0,36.0,,,,,
Charlie Kolar,TE,LAC,17.0,0.0,0.0,0.0,0.0,10.0,142.0,2.0,0.0,0,0.0,,,,,,,,,,,
Charlie Smyth,K,NO,6.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,1.0,4.0,3.0,4.0,13.0,,,,,
Chase Brown,RB,CIN,17.0,0.0,0.0,1019.0,6.0,69.0,437.0,5.0,0.0,0,1.0,,,,,,,,,,,
Chase McLaughlin,K,TB,17.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,6.0,9.0,6.0,11.0,32.0,,,,,
Chicago Bears,DEF,CHI,,,,,,,,,,,,,,,,,,0,0,0,0,415.0
Chimere Dike,WR,TEN,17.0,0.0,0.0,18.0,0.0,48.0,423.0,4.0,0.0,0,0.0,,,,,,,,,,,
Chris Boswell,K,PIT,17.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,6.0,2.0,10.0,9.0,42.0,,,,,
Chris Brooks,RB,GB,17.0,0.0,0.0,106.0,0.0,13.0,91.0,0.0,0.0,0,0.0,,,,,,,,,,,
Chris Godwin Jr.,WR,TB,9.0,0.0,0.0,0.0,0.0,33.0,360.0,2.0,0.0,0,1.0,,,,,,,,,,,
Chris Moore,WR,WSH,14.0,0.0,0.0,9.0,0.0,11.0,207.0,1.0,0.0,0,0.0,,,,,,,,,,,
Chris Oladokun,QB,KC,3.0,235.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Chris Olave,WR,NO,16.0,0.0,0.0,-3.0,0.0,100.0,1163.0,9.0,0.0,0,0.0,,,,,,,,,,,
Chris Rodriguez Jr.,RB,JAX,13.0,0.0,0.0,500.0,6.0,3.0,30.0,0.0,0.0,0,0.0,,,,,,,,,,,
Christian Kirk,WR,SF,13.0,0.0,0.0,0.0,0.0,28.0,239.0,1.0,0.0,0,0.0,,,,,,,,,,,
Christian McCaffrey,RB,SF,17.0,0.0,0.0,1202.0,10.0,102.0,924.0,7.0,0.0,0,0.0,,,,,,,,,,,
Chuba Hubbard,RB,CAR,15.0,0.0,0.0,511.0,1.0,30.0,223.0,3.0,0.0,0,0.0,,,,,,,,,,,
Cincinnati Bengals,DEF,CIN,,,,,,,,,,,,,,,,,,0,0,0,0,492.0
Clayton Tune,QB,GB,2.0,42.0,0.0,23.0,,0.0,0.0,,,0,,,,,,,,,,,,
Cleveland Browns,DEF,CLE,,,,,,,,,,,,,,,,,,0,0,0,0,379.0
Clyde Edwards-Helaire,RB,KC,2.0,0.0,0.0,13.0,,2.0,9.0,,,0,,,,,,,,,,,,
Cody White,WR,SEA,10.0,0.0,0.0,0.0,0.0,3.0,90.0,1.0,0.0,0,0.0,,,,,,,,,,,
Colby Parkinson,TE,LAR,15.0,0.0,0.0,0.0,0.0,43.0,408.0,8.0,0.0,0,0.0,,,,,,,,,,,
Cole Kmet,TE,CHI,16.0,0.0,0.0,0.0,0.0,30.0,347.0,2.0,0.0,0,1.0,,,,,,,,,,,
Colston Loveland,TE,CHI,16.0,0.0,0.0,-2.0,0.0,58.0,713.0,6.0,0.0,0,0.0,,,,,,,,,,,
Corey Kiner,RB,ARI,4.0,0.0,0.0,58.0,,2.0,15.0,,,0,,,,,,,,,,,,
Courtland Sutton,WR,DEN,17.0,0.0,0.0,0.0,0.0,74.0,1017.0,7.0,0.0,0,1.0,,,,,,,,,,,
Curtis Samuel,WR,BUF,6.0,0.0,0.0,0.0,0.0,7.0,81.0,1.0,0.0,0,0.0,,,,,,,,,,,
D'Andre Swift,RB,CHI,16.0,0.0,0.0,1087.0,9.0,34.0,299.0,1.0,0.0,0,0.0,,,,,,,,,,,
D'Ernest Johnson,RB,NE,8.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
DJ Giddens,RB,IND,9.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
DJ Moore,WR,BUF,17.0,2.0,1.0,79.0,1.0,50.0,682.0,6.0,0.0,0,0.0,,,,,,,,,,,
DK Metcalf,WR,PIT,15.0,0.0,0.0,12.0,1.0,59.0,850.0,6.0,0.0,0,0.0,,,,,,,,,,,
Dak Prescott,QB,DAL,17.0,4552.0,30.0,177.0,2.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Dallas Cowboys,DEF,DAL,,,,,,,,,,,,,,,,,,0,0,0,0,511.0
Dalton Schultz,TE,HOU,17.0,0.0,0.0,0.0,0.0,82.0,777.0,3.0,0.0,0,0.0,,,,,,,,,,,
Dameon Pierce,RB,PHI,5.0,0.0,0.0,36.0,,0.0,0.0,,,0,,,,,,,,,,,,
Daniel Bellinger,TE,TEN,16.0,0.0,0.0,0.0,0.0,19.0,286.0,2.0,0.0,0,0.0,,,,,,,,,,,
Daniel Carlson,K,LV,17.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,5.0,6.0,6.0,5.0,21.0,,,,,
Daniel Jones,QB,IND,13.0,3101.0,19.0,164.0,5.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Dante Pettis,WR,NO,8.0,0.0,0.0,0.0,,9.0,127.0,,,0,,,,,,,,,,,,
Dare Ogunbowale,RB,HOU,17.0,0.0,0.0,25.0,1.0,10.0,76.0,0.0,0.0,0,0.0,,,,,,,,,,,
Darius Cooper,WR,PHI,13.0,0.0,0.0,0.0,0.0,9.0,92.0,0.0,0.0,0,0.0,,,,,,,,,,,
Darnell Washington,TE,PIT,16.0,0.0,0.0,0.0,0.0,31.0,364.0,1.0,0.0,0,1.0,,,,,,,,,,,
Darren Waller,TE,MIA,9.0,0.0,0.0,4.0,0.0,24.0,283.0,6.0,0.0,0,0.0,,,,,,,,,,,
Davante Adams,WR,LAR,14.0,0.0,0.0,0.0,0.0,60.0,789.0,14.0,0.0,0,0.0,,,,,,,,,,,
David Montgomery,RB,HOU,17.0,3.0,1.0,716.0,8.0,24.0,192.0,0.0,0.0,0,1.0,,,,,,,,,,,
David Moore,WR,CAR,4.0,0.0,0.0,12.0,0.0,1.0,5.0,0.0,0.0,0,0.0,,,,,,,,,,,
David Njoku,TE,LAC,12.0,0.0,0.0,0.0,0.0,33.0,293.0,4.0,0.0,0,0.0,,,,,,,,,,,
David Sills V,WR,TB,17.0,0.0,0.0,0.0,0.0,18.0,191.0,2.0,0.0,0,0.0,,,,,,,,,,,
Davis Allen,TE,LAR,17.0,0.0,0.0,0.0,0.0,24.0,208.0,3.0,0.0,0,0.0,,,,,,,,,,,
Davis Mills,QB,HOU,6.0,915.0,5.0,60.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Dawson Knox,TE,BUF,17.0,0.0,0.0,0.0,0.0,36.0,417.0,4.0,0.0,0,1.0,,,,,,,,,,,
De'Von Achane,RB,MIA,16.0,0.0,0.0,1350.0,8.0,67.0,488.0,4.0,0.0,0,0.0,,,,,,,,,,,
DeAndre Hopkins,WR,BAL,17.0,0.0,0.0,0.0,0.0,22.0,330.0,2.0,0.0,0,0.0,,,,,,,,,,,
DeMario Douglas,WR,NE,17.0,0.0,0.0,21.0,0.0,31.0,447.0,3.0,0.0,0,0.0,,,,,,,,,,,
DeVonta Smith,WR,PHI,17.0,0.0,0.0,0.0,0.0,77.0,1008.0,4.0,0.0,0,0.0,,,,,,,,,,,
DeeJay Dallas,RB,JAX,6.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Deebo Samuel,WR,WSH,16.0,0.0,0.0,75.0,1.0,72.0,727.0,5.0,0.0,0,0.0,,,,,,,,,,,
Demarcus Robinson,WR,SF,14.0,0.0,0.0,6.0,0.0,22.0,276.0,1.0,0.0,0,1.0,,,,,,,,,,,
Denver Broncos,DEF,DEN,,,,,,,,,,,,,,,,,,0,0,0,0,311.0
Derrick Henry,RB,BAL,17.0,0.0,0.0,1595.0,16.0,15.0,150.0,0.0,0.0,0,0.0,,,,,,,,,,,
Detroit Lions,DEF,DET,,,,,,,,,,,,,,,,,,0,0,0,0,413.0
Devaughn Vele,WR,NO,13.0,0.0,0.0,0.0,0.0,25.0,293.0,2.0,0.0,0,0.0,,,,,,,,,,,
Devin Neal,RB,NO,10.0,0.0,0.0,206.0,2.0,17.0,104.0,0.0,0.0,0,0.0,,,,,,,,,,,
Devin Singletary,RB,NYG,17.0,0.0,0.0,437.0,5.0,18.0,151.0,0.0,0.0,0,0.0,,,,,,,,,,,
Devontez Walker,WR,BAL,12.0,0.0,0.0,0.0,0.0,6.0,136.0,3.0,0.0,0,0.0,,,,,,,,,,,
Dillon Gabriel,QB,CLE,10.0,937.0,7.0,86.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Dont'e Thornton Jr.,WR,LV,15.0,0.0,0.0,0.0,0.0,10.0,135.0,0.0,0.0,0,0.0,,,,,,,,,,,
Dontayvion Wicks,WR,PHI,14.0,0.0,0.0,6.0,0.0,30.0,332.0,2.0,0.0,0,0.0,,,,,,,,,,,
Drake London,WR,ATL,12.0,0.0,0.0,0.0,0.0,68.0,919.0,7.0,0.0,0,1.0,,,,,,,,,,,
Drake Maye,QB,NE,17.0,4394.0,31.0,450.0,4.0,1.0,2.0,0.0,0.0,0,1.0,,,,,,,,,,,
Drew Sample,TE,CIN,17.0,0.0,0.0,3.0,0.0,15.0,106.0,1.0,0.0,0,0.0,,,,,,,,,,,
Dyami Brown,WR,WSH,14.0,0.0,0.0,30.0,0.0,20.0,227.0,1.0,0.0,0,0.0,,,,,,,,,,,
Dylan Laube,RB,LV,17.0,0.0,0.0,9.0,,3.0,18.0,,,0,,,,,,,,,,,,
Dylan Sampson,RB,CLE,15.0,0.0,0.0,175.0,0.0,33.0,271.0,2.0,0.0,0,0.0,,,,,,,,,,,
Eddy Pineiro,K,SF,14.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,5.0,7.0,10.0,6.0,34.0,,,,,
Elijah Arroyo,TE,SEA,13.0,0.0,0.0,0.0,0.0,15.0,179.0,1.0,0.0,0,0.0,,,,,,,,,,,
Elijah Higgins,TE,ARI,17.0,0.0,0.0,0.0,0.0,30.0,301.0,0.0,0.0,0,0.0,,,,,,,,,,,
Elijah Moore,WR,PHI,9.0,0.0,0.0,24.0,1.0,9.0,112.0,0.0,0.0,0,0.0,,,,,,,,,,,
Emanuel Wilson,RB,SEA,17.0,0.0,0.0,496.0,3.0,15.0,99.0,0.0,0.0,0,1.0,,,,,,,,,,,
Emari Demercado,RB,KC,13.0,0.0,0.0,312.0,0.0,13.0,101.0,1.0,0.0,0,0.0,,,,,,,,,,,
Emeka Egbuka,WR,TB,17.0,0.0,0.0,9.0,0.0,63.0,938.0,6.0,0.0,0,1.0,,,,,,,,,,,
Evan Hull,RB,HOU,6.0,0.0,0.0,48.0,,1.0,6.0,,,0,,,,,,,,,,,,
Evan McPherson,K,CIN,17.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,4.0,6.0,10.0,5.0,41.0,,,,,
Gabe Davis,WR,BUF,6.0,0.0,0.0,0.0,0.0,12.0,129.0,1.0,0.0,0,0.0,,,,,,,,,,,
Garrett Wilson,WR,NYJ,7.0,0.0,0.0,0.0,0.0,36.0,395.0,4.0,0.0,0,0.0,,,,,,,,,,,
Geno Smith,QB,NYJ,15.0,3025.0,19.0,109.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
George Holani,RB,SEA,11.0,0.0,0.0,73.0,1.0,2.0,15.0,0.0,0.0,0,0.0,,,,,,,,,,,
George Pickens,WR,DAL,17.0,0.0,0.0,0.0,0.0,93.0,1429.0,9.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Graham Gano,K,NYG,5.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,3.0,4.0,1.0,1.0,9.0,,,,,
Green Bay Packers,DEF,GB,,,,,,,,,,,,,,,,,,0,0,0,0,360.0
Greg Dortch,WR,DET,12.0,0.0,0.0,15.0,1.0,29.0,206.0,3.0,0.0,0,0.0,,,,,,,,,,,
Greg Dulcich,TE,MIA,10.0,0.0,0.0,-7.0,0.0,26.0,335.0,1.0,0.0,0,0.0,,,,,,,,,,,
Gunnar Helm,TE,TEN,16.0,0.0,0.0,0.0,0.0,44.0,357.0,2.0,0.0,0,0.0,,,,,,,,,,,
Gunner Olszewski,WR,NYG,16.0,33.0,1.0,0.0,0.0,10.0,145.0,1.0,0.0,0,0.0,,,,,,,,,,,
Harold Fannin Jr.,TE,CLE,16.0,0.0,0.0,13.0,1.0,72.0,731.0,6.0,0.0,0,0.0,,,,,,,,,,,
Harrison Butker,K,KC,17.0,,,,0.0,,,0.0,0.0,0,0.0,1.0,9.0,9.0,9.0,5.0,31.0,,,,,
Harrison Mevis,K,LAR,9.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,3.0,3.0,5.0,1.0,39.0,,,,,
Hassan Haskins,RB,LAC,12.0,0.0,0.0,47.0,0.0,4.0,13.0,0.0,0.0,0,0.0,,,,,,,,,,,
Houston Texans,DEF,HOU,,,,,,,,,,,,,,,,,,0,0,0,0,295.0
Hunter Henry,TE,NE,17.0,0.0,0.0,0.0,0.0,60.0,768.0,7.0,0.0,0,0.0,,,,,,,,,,,
Hunter Long,TE,JAX,9.0,0.0,0.0,0.0,0.0,12.0,85.0,2.0,0.0,0,0.0,,,,,,,,,,,
Hunter Renfrow,WR,CAR,6.0,0.0,0.0,0.0,0.0,15.0,89.0,2.0,0.0,0,0.0,,,,,,,,,,,
Ian Thomas,TE,LV,15.0,0.0,0.0,0.0,0.0,13.0,114.0,0.0,0.0,0,0.0,,,,,,,,,,,
Indianapolis Colts,DEF,IND,,,,,,,,,,,,,,,,,,0,0,0,0,412.0
Isaac TeSlaa,WR,DET,17.0,0.0,0.0,0.0,0.0,16.0,239.0,6.0,0.0,0,0.0,,,,,,,,,,,
Isaiah Bond,WR,CLE,16.0,0.0,0.0,29.0,0.0,18.0,338.0,0.0,0.0,0,0.0,,,,,,,,,,,
Isaiah Davis,RB,NYJ,16.0,0.0,0.0,236.0,1.0,21.0,186.0,0.0,0.0,0,1.0,,,,,,,,,,,
Isaiah Hodgins,WR,NYG,7.0,0.0,0.0,0.0,0.0,10.0,115.0,1.0,0.0,0,0.0,,,,,,,,,,,
Isaiah Likely,TE,NYG,14.0,0.0,0.0,0.0,0.0,27.0,307.0,1.0,0.0,0,0.0,,,,,,,,,,,
Isaiah Williams,WR,NYJ,15.0,0.0,0.0,34.0,,26.0,193.0,,,0,,,,,,,,,,,,
Isiah Pacheco,RB,DET,13.0,0.0,0.0,462.0,1.0,19.0,101.0,1.0,0.0,0,0.0,,,,,,,,,,,
J.J. McCarthy,QB,MIN,10.0,1632.0,11.0,181.0,4.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
J.K. Dobbins,RB,DEN,10.0,0.0,0.0,772.0,4.0,11.0,37.0,0.0,0.0,0,0.0,,,,,,,,,,,
Ja'Marr Chase,WR,CIN,16.0,0.0,0.0,14.0,0.0,125.0,1412.0,8.0,0.0,0,0.0,,,,,,,,,,,
Ja'Tavion Sanders,TE,CAR,13.0,0.0,0.0,0.0,0.0,29.0,190.0,1.0,0.0,0,0.0,,,,,,,,,,,
Jacardia Wright,RB,SEA,1.0,0.0,0.0,20.0,,0.0,0.0,,,0,,,,,,,,,,,,
Jack Bech,WR,LV,16.0,0.0,0.0,0.0,0.0,20.0,224.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jackson Hawes,TE,BUF,17.0,0.0,0.0,0.0,0.0,16.0,187.0,3.0,0.0,0,0.0,,,,,,,,,,,
Jacksonville Jaguars,DEF,JAX,,,,,,,,,,,,,,,,,,0,0,0,0,336.0
Jacob Saylors,RB,DET,16.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jacoby Brissett,QB,ARI,14.0,3366.0,23.0,168.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jacory Croskey-Merritt,RB,WSH,17.0,0.0,0.0,805.0,8.0,9.0,68.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jahan Dotson,WR,ATL,17.0,0.0,0.0,0.0,0.0,18.0,262.0,1.0,0.0,0,0.0,,,,,,,,,,,
Jahdae Walker,WR,CHI,9.0,0.0,0.0,0.0,0.0,6.0,87.0,2.0,0.0,0,0.0,,,,,,,,,,,
Jahmyr Gibbs,RB,DET,17.0,0.0,0.0,1223.0,13.0,77.0,616.0,5.0,0.0,0,0.0,,,,,,,,,,,
Jake Bates,K,DET,17.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,6.0,8.0,9.0,4.0,54.0,,,,,
Jake Browning,QB,TB,5.0,771.0,6.0,39.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jake Elliott,K,PHI,17.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,3.0,6.0,7.0,4.0,41.0,,,,,
Jake Moody,K,WSH,9.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,5.0,7.0,5.0,2.0,15.0,,,,,
Jake Tonges,TE,SF,17.0,0.0,0.0,0.0,0.0,34.0,293.0,5.0,0.0,0,0.0,,,,,,,,,,,
Jakobi Meyers,WR,JAX,16.0,0.0,0.0,13.0,0.0,75.0,835.0,3.0,0.0,0,0.0,,,,,,,,,,,
Jaleel McLaughlin,RB,DEN,8.0,0.0,0.0,187.0,1.0,4.0,27.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jalen Coker,WR,CAR,11.0,0.0,0.0,0.0,0.0,33.0,394.0,3.0,0.0,0,1.0,,,,,,,,,,,
Jalen Hurts,QB,PHI,16.0,3224.0,25.0,421.0,8.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jalen McMillan,WR,TB,4.0,0.0,0.0,1.0,,12.0,178.0,,,0,,,,,,,,,,,,
Jalen Nailor,WR,LV,17.0,0.0,0.0,13.0,0.0,29.0,444.0,4.0,0.0,0,1.0,,,,,,,,,,,
Jalen Tolbert,WR,MIA,13.0,0.0,0.0,0.0,0.0,18.0,203.0,1.0,0.0,0,1.0,,,,,,,,,,,
Jamari Thrash,WR,CLE,9.0,0.0,0.0,0.0,0.0,10.0,107.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jameis Winston,QB,NYG,3.0,567.0,2.0,23.0,1.0,1.0,33.0,1.0,0.0,0,0.0,,,,,,,,,,,
James Conner,RB,ARI,3.0,0.0,0.0,95.0,1.0,8.0,38.0,1.0,0.0,0,0.0,,,,,,,,,,,
James Cook III,RB,BUF,17.0,0.0,0.0,1621.0,12.0,33.0,291.0,2.0,0.0,0,0.0,,,,,,,,,,,
Jameson Williams,WR,DET,17.0,0.0,0.0,12.0,0.0,65.0,1117.0,7.0,0.0,0,0.0,,,,,,,,,,,
Jared Goff,QB,DET,17.0,4564.0,34.0,45.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jaret Patterson,RB,LAC,6.0,0.0,0.0,159.0,1.0,3.0,8.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jason Myers,K,SEA,17.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,5.0,14.0,13.0,9.0,48.0,,,,,
Javonte Williams,RB,DAL,16.0,0.0,0.0,1201.0,11.0,35.0,137.0,2.0,0.0,0,0.0,,,,,,,,,,,
Jawhar Jordan,RB,HOU,4.0,0.0,0.0,193.0,,7.0,34.0,,,0,,,,,,,,,,,,
Jaxon Smith-Njigba,WR,SEA,17.0,0.0,0.0,36.0,0.0,119.0,1793.0,10.0,0.0,0,0.0,,,,,,,,,,,
Jaxson Dart,QB,NYG,14.0,2272.0,15.0,487.0,9.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
