name,position,team,round,pick,overall
Joe Burrow,QB,CIN,1,1,1
Tua Tagovailoa,QB,MIA,1,5,5
Justin Herbert,QB,LAC,1,6,6
Henry Ruggs III,WR,LV,1,12,12
Jerry Jeudy,WR,DEN,1,15,15
CeeDee Lamb,WR,DAL,1,17,17
Jalen Reagor,WR,PHI,1,21,21
Justin Jefferson,WR,MIN,1,22,22
Brandon Aiyuk,WR,SF,1,25,25
Jordan Love,QB,GB,1,26,26
Clyde Edwards-Helaire,RB,KC,1,32,32
Tee Higgins,WR,CIN,2,1,33
Michael Pittman Jr.,WR,IND,2,2,34
D'Andre Swift,RB,DET,2,3,35
Jonathan Taylor,RB,IND,2,9,41
Laviska Shenault Jr.,WR,JAX,2,10,42
Cole Kmet,TE,CHI,2,11,43
KJ Hamler,WR,DEN,2,14,46
Chase Claypool,WR,PIT,2,17,49
Cam Akers,RB,LAR,2,20,52
Jalen Hurts,QB,PHI,2,21,53
J.K. Dobbins,RB,BAL,2,23,55
Van Jefferson,WR,LAR,2,25,57
Denzel Mims,WR,NYJ,2,27,59
AJ Dillon,RB,GB,2,30,62
Antonio Gibson,WR,WSH,3,2,66
Ke'Shawn Vaughn,RB,TB,3,12,76
Lynn Bowden Jr.,WR,LV,3,16,80
Bryan Edwards,WR,LV,3,17,81
Zack Moss,RB,BUF,3,22,86
Devin Asiasi,TE,NE,3,27,91
Devin Duvernay,WR,BAL,3,28,92
Darrynton Evans,RB,TEN,3,29,93
Josiah Deguara,TE,GB,3,30,94
Dalton Keene,TE,NE,3,37,101
Adam Trautman,TE,NO,3,41,105
Joshua Kelley,RB,LAC,4,6,112
Harrison Bryant,TE,CLE,4,9,115
Albert Okwuegbunam,TE,DEN,4,12,118
La'Mical Perine,RB,NYJ,4,14,120
Jacob Eason,QB,IND,4,16,122
Anthony McFarland Jr.,RB,PIT,4,18,124
James Morgan,QB,NYJ,4,19,125
Gabriel Davis,WR,BUF,4,22,128
Colby Parkinson,TE,SEA,4,27,133
Brycen Hopkins,TE,LAR,4,30,136
Antonio Gandy-Golden,WR,WSH,4,36,142
DeeJay Dallas,RB,SEA,4,38,144
Joe Reed,WR,LAC,5,5,151
Justin Rohrwasser,K,NE,5,14,159
Tyler Johnson,WR,TB,5,16,161
Collin Johnson,WR,JAX,5,20,165
Quintez Cephus,WR,DET,5,21,166
Jake Fromm,QB,BUF,5,22,167
John Hightower,WR,PHI,5,23,168
Isaiah Coulter,WR,HOU,5,26,171
Jason Huntley,RB,DET,5,27,172
Darnell Mooney,WR,CHI,5,28,173
K.J. Osborn,WR,MIN,5,31,176
Donovan Peoples-Jones,WR,CLE,6,8,187
Tyler Bass,K,BUF,6,9,188
Jake Luton,QB,JAX,6,10,189
Charlie Woerner,TE,SF,6,11,190
Quez Watkins,WR,PHI,6,21,200
James Proche,WR,BAL,6,22,201
Tyler Davis,TE,JAX,6,27,206
Isaiah Hodgins,WR,BUF,6,28,207
Dezmon Patmon,WR,IND,6,33,212
Freddie Swain,WR,SEA,6,36,214
Jauan Jennings,WR,SF,7,3,217
K.J. Hill,WR,LAC,7,6,220
Eno Benjamin,RB,ARI,7,8,222
Cole McDonald,QB,TEN,7,10,224
Ben DiNucci,QB,DAL,7,17,231
Tommy Stevens,QB,NO,7,26,240
Nate Stanley,QB,MIN,7,30,244
Raymond Calais,RB,TB,7,31,245
Malcolm Perry,WR,MIA,7,32,246
Sam Sloman,K,LAR,7,34,248
Stephen Sullivan,TE,SEA,7,37,251
Tyrie Cleveland,WR,DEN,7,38,252
