overall_pick,round,pick_in_round,team,player_resolved,player_raw
1,1,1,Redskins,Christian McCaffrey,Christian McCaffrey
2,1,2,Elite,CeeDee Lamb,CeeDee Lamb
3,1,3,Hoofers,Josh Allen,Josh Allen
4,1,4,Cardinals,Breece Hall,Breece Hall
5,1,5,Greendawgs,Patrick Mahomes,Patrick Mahomes
6,1,6,Sportos,Tyreek Hill,Tyreek Hill
7,1,7,ChronicMasterdeflatr,Bijan Robinson,Bijan Robinson
8,1,8,Let's Ride,Lamar Jackson,Lamar Jackson
9,1,9,Just Bout Dat Action,Amon-Ra St. Brown,Amon-Ra St. Brown
10,2,1,Just Bout Dat Action,C.J. Stroud,C.J. Stroud
11,2,2,Let's Ride,Ja'Marr Chase,Ja'Marr Chase
12,2,3,ChronicMasterdeflatr,Jalen Hurts,Jalen Hurts
13,2,4,Sportos,Justin Jefferson,Justin Jefferson
14,2,5,Greendawgs,Travis Kelce,Travis Kelce
15,2,6,Cardinals,Kyler Murray,Kyler Murray
16,2,7,Hoofers,Jordan Love,Jordan Love
17,2,8,Elite,Puka Nacua,Puka Nacua
18,2,9,Redskins,Raheem Mostert,Raheem Mostert
19,3,1,Redskins,Sam LaPorta,Sam LaPorta
20,3,2,Elite,DK Metcalf,DK Metcalf
21,3,3,Hoofers,Anthony Richardson,Anthony Richardson Sr.
22,3,4,Cardinals,Garrett Wilson,Garrett Wilson
23,3,5,Greendawgs,A.J. Brown,A.J. Brown
24,3,6,Sportos,Dak Prescott,Dak Prescott
25,3,7,ChronicMasterdeflatr,Jonathan Taylor,Jonathan Taylor
26,3,8,Let's Ride,Jahmyr Gibbs,Jahmyr Gibbs
27,3,9,Just Bout Dat Action,Saquon Barkley,Saquon Barkley
28,4,1,Just Bout Dat Action,Joe Burrow,Joe Burrow
29,4,2,Let's Ride,Mike Evans,Mike Evans
30,4,3,ChronicMasterdeflatr,Derrick Henry,Derrick Henry
31,4,4,Sportos,Isiah Pacheco,Isiah Pacheco
32,4,5,Greendawgs,Cooper Kupp,Cooper Kupp
33,4,6,Cardinals,Marvin Harrison Jr.,Marvin Harrison Jr.
34,4,7,Hoofers,Kyren Williams,Kyren Williams
35,4,8,Elite,Travis Etienne,Travis Etienne Jr.
36,4,9,Redskins,Brandon Aubrey,Brandon Aubrey
37,5,1,Redskins,Dallas Cowboys,Dallas Cowboys
38,5,2,Elite,Davante Adams,Davante Adams
39,5,3,Hoofers,Josh Jacobs,Josh Jacobs
40,5,4,Cardinals,Jayden Daniels,Jayden Daniels
41,5,5,Greendawgs,Jared Goff,Jared Goff
42,5,6,Sportos,Dalton Kincaid,Dalton Kincaid
43,5,7,ChronicMasterdeflatr,Nico Collins,Nico Collins
