name,position,team,round,pick,overall
Caleb Williams,QB,CHI,1,1,1
Jayden Daniels,QB,WSH,1,2,2
Drake Maye,QB,NE,1,3,3
Marvin Harrison Jr.,WR,ARI,1,4,4
Malik Nabers,WR,NYG,1,6,6
Michael Penix Jr.,QB,ATL,1,8,8
Rome Odunze,WR,CHI,1,9,9
J.J. McCarthy,QB,MIN,1,10,10
Bo Nix,QB,DEN,1,12,12
Brock Bowers,TE,LV,1,13,13
Brian Thomas Jr.,WR,JAX,1,23,23
Xavier Worthy,WR,KC,1,28,28
Ricky Pearsall,WR,SF,1,31,31
Xavier Legette,WR,CAR,1,32,32
Keon Coleman,WR,BUF,2,1,33
Ladd McConkey,WR,LAC,2,2,34
Ja'Lynn Polk,WR,NE,2,5,37
Jonathon Brooks,RB,CAR,2,14,46
Adonai Mitchell,WR,IND,2,20,52
Ben Sinnott,TE,WSH,2,21,53
Malachi Corley,WR,NYJ,3,1,65
Trey Benson,RB,ARI,3,2,66
Jermaine Burton,WR,CIN,3,16,80
Tip Reiman,TE,ARI,3,18,82
Blake Corum,RB,LAR,3,19,83
Roman Wilson,WR,PIT,3,20,84
MarShawn Lloyd,RB,GB,3,25,88
Jalen McMillan,WR,TB,3,29,92
Luke McCaffrey,WR,WSH,3,37,100
Ja'Tavion Sanders,TE,CAR,4,1,101
Troy Franklin,WR,DEN,4,2,102
Theo Johnson,TE,NYG,4,7,107
Javon Baker,WR,NE,4,10,110
Devontez Walker,WR,BAL,4,13,113
Erick All,TE,CIN,4,15,115
Jaylen Wright,RB,MIA,4,20,120
AJ Barner,TE,SEA,4,21,121
Cade Stover,TE,HOU,4,23,123
Bucky Irving,RB,TB,4,25,125
Will Shipley,RB,PHI,4,27,127
Ray Davis,RB,BUF,4,28,128
Isaac Guerendo,RB,SF,4,29,129
Jared Wiley,TE,KC,4,31,131
Braelon Allen,RB,NYJ,4,34,134
Jacob Cowing,WR,SF,4,35,135
Anthony Gould,WR,IND,5,7,142
Audric Estime,RB,DEN,5,12,147
Spencer Rattler,QB,NO,5,15,150
Ainias Smith,WR,PHI,5,17,152
Jamari Thrash,WR,CLE,5,21,156
Rasheen Ali,RB,BAL,5,30,165
Tyrone Tracy Jr.,RB,NYG,5,31,166
Keilan Robinson,RB,JAX,5,32,167
Bub Means,WR,NO,5,35,170
Jordan Travis,QB,NYJ,5,36,171
Isaiah Davis,RB,NYJ,5,38,173
Kimani Vidal,RB,LAC,6,5,181
Jha'Quan Jackson,WR,TEN,6,6,182
Malik Washington,WR,MIA,6,8,184
Johnny Wilson,WR,PHI,6,9,185
Jase McClellan,RB,ATL,6,10,186
Casey Washington,WR,ATL,6,11,187
Tejhaun Palmer,WR,ARI,6,15,191
Joe Milton III,QB,NE,6,17,193
Tanner McLachlan,TE,CIN,6,18,194
Will Reichard,K,MIN,6,27,203
Jawhar Jordan,RB,HOU,6,29,205
Dylan Laube,RB,LV,6,32,208
Joshua Karty,K,LAR,6,33,209
Cam Little,K,JAX,6,36,212
Jordan Whittington,WR,LAR,6,37,213
Ryan Flournoy,WR,DAL,6,40,216
Devin Leary,QB,BAL,6,42,218
Brenden Rice,WR,LAC,7,5,225
Jaheim Bell,TE,NE,7,11,231
Devaughn Vele,WR,DEN,7,15,235
Tahj Washington,WR,MIA,7,21,241
Michael Pratt,QB,GB,7,25,245
Devin Culp,TE,TB,7,26,246
Cornelius Johnson,WR,LAC,7,33,253
