name,position,team,round,pick,overall
Trevor Lawrence,QB,JAX,1,1,1
Zach Wilson,QB,NYJ,1,2,2
Trey Lance,QB,SF,1,3,3
Kyle Pitts,TE,ATL,1,4,4
Ja'Marr Chase,WR,CIN,1,5,5
Jaylen Waddle,WR,MIA,1,6,6
DeVonta Smith,WR,PHI,1,10,10
Justin Fields,QB,CHI,1,11,11
Mac Jones,QB,NE,1,15,15
Kadarius Toney,WR,NYG,1,20,20
Najee Harris,RB,PIT,1,24,24
Travis Etienne,RB,JAX,1,25,25
Rashod Bateman,WR,BAL,1,27,27
Elijah Moore,WR,NYJ,2,2,34
Javonte Williams,RB,DEN,2,3,35
Rondale Moore,WR,ARI,2,17,49
Pat Freiermuth,TE,PIT,2,23,55
D'Wayne Eskridge,WR,SEA,2,24,56
Tutu Atwell,WR,LAR,2,25,57
Terrace Marshall Jr.,WR,CAR,2,27,59
Kyle Trask,QB,TB,2,32,64
Kellen Mond,QB,MIN,3,2,66
Davis Mills,QB,HOU,3,3,67
Josh Palmer,WR,LAC,3,14,77
Hunter Long,TE,MIA,3,18,81
Dyami Brown,WR,WSH,3,19,82
Tommy Tremble,TE,CAR,3,20,83
Amari Rodgers,WR,GB,3,22,85
Trey Sermon,RB,SF,3,25,88
Nico Collins,WR,HOU,3,26,89
Anthony Schwartz,WR,CLE,3,28,91
Tre' McKitty,TE,LAC,3,34,97
Michael Carter,RB,NYJ,4,2,107
Dez Fitzpatrick,WR,TEN,4,4,109
Amon-Ra St. Brown,WR,DET,4,7,112
Kene Nwangwu,RB,MIN,4,14,119
Rhamondre Stevenson,RB,NE,4,15,120
John Bates,TE,WSH,4,19,124
Chuba Hubbard,RB,CAR,4,21,126
Kylen Granson,TE,IND,4,22,127
Jaelon Darden,WR,TB,4,24,129
Tylan Wallace,WR,BAL,4,26,131
Ian Book,QB,NO,4,28,133
Jacob Harris,WR,LAR,4,36,141
Luke Farrell,TE,JAX,5,1,145
Brevin Jordan,TE,HOU,5,3,147
Evan McPherson,K,CIN,5,5,149
Kenneth Gainwell,RB,PHI,5,6,150
Ihmir Smith-Marsette,WR,MIN,5,13,157
Noah Gray,TE,KC,5,18,162
Zach Davidson,TE,MIN,5,24,168
Simi Fehoko,WR,DAL,5,35,179
Cornell Powell,WR,KC,5,37,181
Frank Darby,WR,ATL,6,3,187
Elijah Mitchell,RB,SF,6,10,194
Gary Brightwell,RB,NYG,6,12,196
Larry Rountree III,RB,LAC,6,14,198
Chris Evans,RB,CIN,6,18,202
Marquez Stevenson,WR,BUF,6,19,203
Shi Smith,WR,CAR,6,20,204
Racey McMath,WR,TEN,6,21,205
Jalen Camp,WR,JAX,6,25,209
Demetric Felton,WR,CLE,6,27,211
Khalil Herbert,RB,CHI,6,33,217
Sam Ehlinger,QB,IND,6,34,218
Seth Williams,WR,DEN,6,35,219
Dazz Newsome,WR,CHI,6,37,221
Mike Strachan,WR,IND,7,1,229
Jake Funk,RB,LAR,7,5,233
Tre Nixon,WR,NE,7,15,242
Gerrid Doaks,RB,MIA,7,17,244
Ben Skowronek,WR,LAR,7,22,249
Kawaan Baker,WR,NO,7,28,255
Kylin Hill,RB,GB,7,29,256
Jermar Jefferson,RB,DET,7,30,257
Dax Milne,WR,WSH,7,31,258
