week,gameday,gametime,away_team,home_team,location
1,2016-09-08,20:30,CAR,DEN,Home
1,2016-09-11,13:00,TB,ATL,Home
1,2016-09-11,13:00,BUF,BAL,Home
1,2016-09-11,13:00,CHI,HOU,Home
1,2016-09-11,13:00,GB,JAX,Home
1,2016-09-11,13:00,SD,KC,Home
1,2016-09-11,13:00,OAK,NO,Home
1,2016-09-11,13:00,CIN,NYJ,Home
1,2016-09-11,13:00,CLE,PHI,Home
1,2016-09-11,13:00,MIN,TEN,Home
1,2016-09-11,16:05,MIA,SEA,Home
1,2016-09-11,16:25,NYG,DAL,Home
1,2016-09-11,16:25,DET,IND,Home
1,2016-09-11,20:30,NE,ARI,Home
1,2016-09-12,19:10,PIT,WAS,Home
1,2016-09-12,22:20,LA,SF,Home
2,2016-09-15,20:25,NYJ,BUF,Home
2,2016-09-18,13:00,TB,ARI,Home
2,2016-09-18,13:00,SF,CAR,Home
2,2016-09-18,13:00,BAL,CLE,Home
2,2016-09-18,13:00,TEN,DET,Home
2,2016-09-18,13:00,KC,HOU,Home
2,2016-09-18,13:00,MIA,NE,Home
2,2016-09-18,13:00,NO,NYG,Home
2,2016-09-18,13:00,CIN,PIT,Home
2,2016-09-18,13:00,DAL,WAS,Home
2,2016-09-18,16:05,SEA,LA,Home
2,2016-09-18,16:25,IND,DEN,Home
2,2016-09-18,16:25,ATL,OAK,Home
2,2016-09-18,16:25,JAX,SD,Home
2,2016-09-18,20:30,GB,MIN,Home
2,2016-09-19,20:30,PHI,CHI,Home
3,2016-09-22,20:25,HOU,NE,Home
3,2016-09-25,13:00,ARI,BUF,Home
3,2016-09-25,13:00,MIN,CAR,Home
3,2016-09-25,13:00,DEN,CIN,Home
3,2016-09-25,13:00,DET,GB,Home
3,2016-09-25,13:00,BAL,JAX,Home
3,2016-09-25,13:00,CLE,MIA,Home
3,2016-09-25,13:00,WAS,NYG,Home
3,2016-09-25,13:00,OAK,TEN,Home
3,2016-09-25,16:05,SF,SEA,Home
3,2016-09-25,16:05,LA,TB,Home
3,2016-09-25,16:25,SD,IND,Home
3,2016-09-25,16:25,NYJ,KC,Home
3,2016-09-25,16:25,PIT,PHI,Home
3,2016-09-25,20:30,CHI,DAL,Home
3,2016-09-26,20:30,ATL,NO,Home
4,2016-09-29,20:25,MIA,CIN,Home
4,2016-10-02,09:30,IND,JAX,Neutral
4,2016-10-02,13:00,CAR,ATL,Home
4,2016-10-02,13:00,OAK,BAL,Home
4,2016-10-02,13:00,DET,CHI,Home
4,2016-10-02,13:00,TEN,HOU,Home
4,2016-10-02,13:00,BUF,NE,Home
4,2016-10-02,13:00,SEA,NYJ,Home
4,2016-10-02,13:00,CLE,WAS,Home
4,2016-10-02,16:05,DEN,TB,Home
4,2016-10-02,16:25,LA,ARI,Home
4,2016-10-02,16:25,NO,SD,Home
4,2016-10-02,16:25,DAL,SF,Home
4,2016-10-02,20:30,KC,PIT,Home
4,2016-10-03,20:30,NYG,MIN,Home
5,2016-10-06,20:25,ARI,SF,Home
5,2016-10-09,13:00,WAS,BAL,Home
5,2016-10-09,13:00,NE,CLE,Home
5,2016-10-09,13:00,PHI,DET,Home
5,2016-10-09,13:00,CHI,IND,Home
5,2016-10-09,13:00,TEN,MIA,Home
5,2016-10-09,13:00,HOU,MIN,Home
5,2016-10-09,13:00,NYJ,PIT,Home
5,2016-10-09,16:05,ATL,DEN,Home
5,2016-10-09,16:25,CIN,DAL,Home
5,2016-10-09,16:25,BUF,LA,Home
5,2016-10-09,16:25,SD,OAK,Home
5,2016-10-09,20:30,NYG,GB,Home
5,2016-10-10,20:30,TB,CAR,Home
6,2016-10-13,20:25,DEN,SD,Home
6,2016-10-16,13:00,SF,BUF,Home
6,2016-10-16,13:00,JAX,CHI,Home
6,2016-10-16,13:00,LA,DET,Home
6,2016-10-16,13:00,PIT,MIA,Home
6,2016-10-16,13:00,CIN,NE,Home
6,2016-10-16,13:00,CAR,NO,Home
6,2016-10-16,13:00,BAL,NYG,Home
6,2016-10-16,13:00,CLE,TEN,Home
