name,position,team,games_played,pass_yds,pass_td,pass_att,pass_cmp,pass_int,rush_yds,rush_td,carries,rec,rec_yds,rec_td,targets,return_td,off_fumble_return_td,two_pt,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50_plus,fg_60_plus,pat_made,def_td,def_safety,def_return_td,def_xp_returned,def_points_allowed
A.J. Derby,TE,MIA,3,0,0,0,0,0,0,0,0,3,48,1,5,0,0,0,0,0,0,0,0,0,0,,,,,
A.J. Green,WR,CIN,9,0,0,0,0,0,0,0,0,46,694,6,77,0,0,0,0,0,0,0,0,0,0,,,,,
AJ McCarron,QB,LV,2,8,0,3,1,0,-2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Aaron Jones,RB,GB,12,0,0,0,0,0,728,8,133,26,206,1,35,0,0,0,0,0,0,0,0,0,0,,,,,
Aaron Rodgers,QB,GB,16,4442,25,597,372,2,269,2,43,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,,,,
Adam Humphries,WR,TB,16,0,0,0,0,0,11,0,2,76,816,5,105,0,0,0,0,0,0,0,0,0,0,,,,,
Adam Shaheen,TE,CHI,5,0,0,0,0,0,0,0,0,5,48,1,6,0,0,1,0,0,0,0,0,0,0,,,,,
Adam Thielen,WR,MIN,16,0,0,0,0,0,30,0,5,113,1373,9,153,0,0,1,0,0,0,0,0,0,0,,,,,
Adam Vinatieri,K,IND,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,5,4,0,44,,,,,
Adrian Peterson,RB,WAS,16,0,0,0,0,0,1042,7,251,20,208,1,26,0,0,0,0,0,0,0,0,0,0,,,,,
Alan Cross,TE,TB,6,0,0,0,0,0,0,0,0,2,9,0,5,0,0,0,0,0,0,0,0,0,0,,,,,
Albert Wilson,WR,MIA,7,52,1,1,1,0,16,0,8,26,391,4,35,0,0,0,0,0,0,0,0,0,0,,,,,
Aldrick Robinson,WR,MIN,14,0,0,0,0,0,0,0,0,17,231,5,35,0,0,0,0,0,0,0,0,0,0,,,,,
Aldrick Rosas,K,NYG,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,6,4,0,31,,,,,
Alex Armah,RB,CAR,9,0,0,0,0,0,15,2,9,1,5,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
Alex Collins,RB,BAL,10,0,0,0,0,0,411,7,114,15,105,1,21,0,0,0,0,0,0,0,0,0,0,,,,,
Alex Erickson,WR,CIN,16,0,0,0,0,0,22,0,3,20,167,0,29,0,0,0,0,0,0,0,0,0,0,,,,,
