name,position,team,pass_yds,pass_td,rush_yds,rush_td,rec,rec_yds,rec_td,return_td,off_fumble_return_td,two_pt,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50_plus,pat_made,def_td,def_safety,def_return_td,def_xp_returned,def_points_allowed
A.J. Brown,WR,PHI,0.0,0.0,0.0,0.0,88.0,1496.0,11.0,0.0,0,0.0,,,,,,,,,,,
A.J. Green,WR,ARI,0.0,0.0,0.0,0.0,24.0,236.0,2.0,0.0,0,1.0,,,,,,,,,,,
AJ Dillon,RB,GB,0.0,0.0,770.0,7.0,28.0,206.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Aaron Jones Sr.,RB,GB,0.0,0.0,1121.0,2.0,59.0,395.0,5.0,0.0,0,1.0,,,,,,,,,,,
Aaron Rodgers,QB,GB,3695.0,26.0,94.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Adam Thielen,WR,MIN,0.0,0.0,4.0,0.0,70.0,716.0,6.0,0.0,0,1.0,,,,,,,,,,,
Adam Trautman,TE,NO,0.0,0.0,0.0,0.0,18.0,207.0,1.0,0.0,0,0.0,,,,,,,,,,,
Albert Okwuegbunam Jr.,TE,DEN,0.0,0.0,0.0,0.0,10.0,95.0,1.0,0.0,0,0.0,,,,,,,,,,,
Alec Pierce,WR,IND,0.0,0.0,0.0,0.0,41.0,593.0,2.0,0.0,0,0.0,,,,,,,,,,,
Alexander Mattison,RB,MIN,0.0,0.0,283.0,5.0,15.0,91.0,1.0,0.0,0,0.0,,,,,,,,,,,
Allen Lazard,WR,GB,0.0,0.0,0.0,0.0,60.0,788.0,6.0,0.0,0,0.0,,,,,,,,,,,
Alvin Kamara,RB,NO,0.0,0.0,897.0,2.0,57.0,490.0,2.0,0.0,0,0.0,,,,,,,,,,,
Amari Cooper,WR,CLE,0.0,0.0,0.0,0.0,78.0,1160.0,9.0,0.0,0,0.0,,,,,,,,,,,
Amari Rodgers,WR,HOU,0.0,0.0,7.0,0.0,16.0,204.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Ameer Abdullah,RB,LV,0.0,0.0,20.0,0.0,25.0,211.0,1.0,0.0,0,0.0,,,,,,,,,,,
Amon-Ra St. Brown,WR,DET,0.0,0.0,95.0,0.0,106.0,1161.0,6.0,0.0,0,0.0,,,,,,,,,,,
Andy Dalton,QB,PHI,2871.0,18.0,54.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Anthony Brown Jr.,QB,BAL,302.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Anthony Firkser,TE,ATL,0.0,0.0,0.0,0.0,9.0,100.0,0.0,0.0,0,0.0,,,,,,,,,,,
Anthony McFarland Jr.,RB,PIT,0.0,0.0,30.0,0.0,2.0,11.0,0.0,0.0,0,0.0,,,,,,,,,,,
Anthony Schwartz,WR,CLE,0.0,0.0,57.0,1.0,4.0,51.0,0.0,0.0,0,0.0,,,,,,,,,,,
Antonio Gibson,RB,WSH,0.0,0.0,546.0,3.0,46.0,353.0,2.0,0.0,0,0.0,,,,,,,,,,,
Arizona Cardinals,DEF,ARI,,,,,,,,,,,,,,,,,0,0,0,0,449.0
Armani Rogers,TE,WSH,0.0,0.0,26.0,0.0,5.0,64.0,0.0,0.0,0,0.0,,,,,,,,,,,
Ashton Dulin,WR,IND,0.0,0.0,8.0,0.0,15.0,207.0,1.0,0.0,0,0.0,,,,,,,,,,,
Atlanta Falcons,DEF,ATL,,,,,,,,,,,,,,,,,0,0,0,0,386.0
Austin Ekeler,RB,LAC,0.0,0.0,915.0,13.0,107.0,722.0,5.0,0.0,0,0.0,,,,,,,,,,,
Austin Hooper,TE,TEN,0.0,0.0,0.0,0.0,41.0,444.0,2.0,0.0,0,0.0,,,,,,,,,,,
Austin Seibert,K,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,2.0,0.0,12.0,,,,,
Bailey Zappe,QB,NE,781.0,5.0,0.0,0.0,1.0,-6.0,0.0,0.0,0,0.0,,,,,,,,,,,
Baker Mayfield,QB,LAR,2163.0,10.0,89.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Baltimore Ravens,DEF,BAL,,,,,,,,,,,,,,,,,0,0,0,0,315.0
Bam Knight,RB,NYJ,0.0,0.0,300.0,1.0,13.0,100.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Ben Skowronek,WR,LAR,0.0,0.0,17.0,1.0,39.0,376.0,0.0,0.0,0,0.0,,,,,,,,,,,
Benny Snell Jr.,RB,PIT,0.0,0.0,90.0,1.0,2.0,17.0,0.0,0.0,0,0.0,,,,,,,,,,,
Blaine Gabbert,QB,TB,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Boston Scott,RB,PHI,0.0,0.0,217.0,3.0,5.0,15.0,0.0,0.0,0,0.0,,,,,,,,,,,
Brandin Cooks,WR,HOU,0.0,0.0,7.0,0.0,57.0,699.0,3.0,0.0,0,0.0,,,,,,,,,,,
Brandon Aiyuk,WR,SF,0.0,0.0,23.0,0.0,78.0,1015.0,8.0,0.0,0,0.0,,,,,,,,,,,
Brandon Allen,QB,CIN,22.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Brandon Bolden,RB,LV,0.0,0.0,66.0,0.0,9.0,57.0,1.0,0.0,0,0.0,,,,,,,,,,,
Brandon McManus,K,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.0,4.0,10.0,8.0,25.0,,,,,
Brandon Powell,WR,LAR,0.0,0.0,80.0,0.0,24.0,156.0,0.0,0.0,0,0.0,,,,,,,,,,,
Braxton Berrios,WR,NYJ,2.0,1.0,91.0,2.0,18.0,145.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Breece Hall,RB,NYJ,0.0,0.0,463.0,4.0,19.0,218.0,1.0,0.0,0,0.0,,,,,,,,,,,
Breshad Perriman,WR,TB,0.0,0.0,-7.0,0.0,9.0,110.0,1.0,0.0,0,0.0,,,,,,,,,,,
Brett Maher,K,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,9.0,5.0,6.0,9.0,50.0,,,,,
Brett Rypien,QB,DEN,483.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Brevin Jordan,TE,HOU,0.0,0.0,0.0,0.0,14.0,128.0,0.0,0.0,0,0.0,,,,,,,,,,,
Brian Hoyer,QB,NE,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Brian Robinson Jr.,RB,WSH,0.0,0.0,797.0,2.0,9.0,60.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Brock Purdy,QB,SF,1374.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Brock Wright,TE,DET,0.0,0.0,0.0,0.0,18.0,216.0,4.0,0.0,0,0.0,,,,,,,,,,,
Bryce Perkins,QB,LAR,161.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Brycen Hopkins,TE,LAR,0.0,0.0,0.0,0.0,7.0,109.0,0.0,0.0,0,0.0,,,,,,,,,,,
Buffalo Bills,DEF,BUF,,,,,,,,,,,,,,,,,0,0,0,0,286.0
Byron Pringle,WR,CHI,0.0,0.0,0.0,0.0,10.0,135.0,2.0,0.0,0,0.0,,,,,,,,,,,
C.J. Beathard,QB,JAX,35.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
C.J. Uzomah,TE,NYJ,0.0,0.0,0.0,0.0,21.0,232.0,2.0,0.0,0,0.0,,,,,,,,,,,
Cade York,K,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,9.0,6.0,4.0,35.0,,,,,
Cairo Santos,K,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,7.0,6.0,4.0,27.0,,,,,
Caleb Huntley,RB,ATL,0.0,0.0,366.0,1.0,2.0,3.0,0.0,0.0,0,0.0,,,,,,,,,,,
Caleb Shudak,K,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,,,,,
Cam Akers,RB,LAR,0.0,0.0,786.0,7.0,13.0,117.0,0.0,0.0,0,0.0,,,,,,,,,,,
Cam Sims,WR,WSH,0.0,0.0,0.0,0.0,8.0,89.0,0.0,0.0,0,0.0,,,,,,,,,,,
Cameron Brate,TE,TB,0.0,0.0,0.0,0.0,20.0,174.0,0.0,0.0,0,0.0,,,,,,,,,,,
Cameron Dicker,K,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7.0,7.0,7.0,0.0,24.0,,,,,
Carolina Panthers,DEF,CAR,,,,,,,,,,,,,,,,,0,0,0,0,374.0
Carson Wentz,QB,WSH,1755.0,11.0,86.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
