week,gameday,gametime,away_team,home_team,location
1,2019-09-05,20:20,GB,CHI,Home
1,2019-09-08,13:00,LA,CAR,Home
1,2019-09-08,13:00,TEN,CLE,Home
1,2019-09-08,13:00,KC,JAX,Home
1,2019-09-08,13:00,BAL,MIA,Home
1,2019-09-08,13:00,ATL,MIN,Home
1,2019-09-08,13:00,BUF,NYJ,Home
1,2019-09-08,13:00,WAS,PHI,Home
1,2019-09-08,16:05,IND,LAC,Home
1,2019-09-08,16:05,CIN,SEA,Home
1,2019-09-08,16:25,DET,ARI,Home
1,2019-09-08,16:25,NYG,DAL,Home
1,2019-09-08,16:25,SF,TB,Home
1,2019-09-08,20:20,PIT,NE,Home
1,2019-09-09,19:10,HOU,NO,Home
1,2019-09-09,22:20,DEN,OAK,Home
2,2019-09-12,20:20,TB,CAR,Home
2,2019-09-15,13:00,ARI,BAL,Home
2,2019-09-15,13:00,SF,CIN,Home
2,2019-09-15,13:00,LAC,DET,Home
2,2019-09-15,13:00,MIN,GB,Home
2,2019-09-15,13:00,JAX,HOU,Home
2,2019-09-15,13:00,NE,MIA,Home
2,2019-09-15,13:00,BUF,NYG,Home
2,2019-09-15,13:00,SEA,PIT,Home
2,2019-09-15,13:00,IND,TEN,Home
2,2019-09-15,13:00,DAL,WAS,Home
2,2019-09-15,16:05,KC,OAK,Home
2,2019-09-15,16:25,CHI,DEN,Home
2,2019-09-15,16:25,NO,LA,Home
2,2019-09-15,20:20,PHI,ATL,Home
2,2019-09-16,20:15,CLE,NYJ,Home
3,2019-09-19,20:20,TEN,JAX,Home
3,2019-09-22,13:00,CIN,BUF,Home
3,2019-09-22,13:00,MIA,DAL,Home
3,2019-09-22,13:00,DEN,GB,Home
3,2019-09-22,13:00,ATL,IND,Home
3,2019-09-22,13:00,BAL,KC,Home
3,2019-09-22,13:00,OAK,MIN,Home
3,2019-09-22,13:00,NYJ,NE,Home
3,2019-09-22,13:00,DET,PHI,Home
3,2019-09-22,16:05,CAR,ARI,Home
3,2019-09-22,16:05,NYG,TB,Home
3,2019-09-22,16:25,HOU,LAC,Home
3,2019-09-22,16:25,NO,SEA,Home
3,2019-09-22,16:25,PIT,SF,Home
3,2019-09-22,20:20,LA,CLE,Home
3,2019-09-23,20:15,CHI,WAS,Home
4,2019-09-26,20:20,PHI,GB,Home
4,2019-09-29,13:00,TEN,ATL,Home
4,2019-09-29,13:00,CLE,BAL,Home
4,2019-09-29,13:00,NE,BUF,Home
4,2019-09-29,13:00,KC,DET,Home
4,2019-09-29,13:00,CAR,HOU,Home
4,2019-09-29,13:00,OAK,IND,Home
4,2019-09-29,13:00,LAC,MIA,Home
4,2019-09-29,13:00,WAS,NYG,Home
4,2019-09-29,16:05,SEA,ARI,Home
4,2019-09-29,16:05,TB,LA,Home
4,2019-09-29,16:25,MIN,CHI,Home
4,2019-09-29,16:25,JAX,DEN,Home
4,2019-09-29,20:20,DAL,NO,Home
