flock_list_no,name,position,team,age,games_played,snap_pct,fpts,pos_rank,overall_rank
416,Arian Smith,WR,NYJ,24.7,16,38.0,0.84,183,345
417,Riley Leonard,QB,IND,23.8,5,42.29,5.8,49,49
418,Tahj Washington,WR,MIA,25.1,6,12.83,0.78,184,393
419,Seydou Traore,TE,MIA,23.9,,,,,
420,Matthew Hibner,TE,BAL,24.3,,,,,
421,Kendrick Bourne,WR,ARI,30.9,16,57.26,5.76,84,147
422,Khalil Herbert,RB,,28.2,7,11.55,0.94,100,378
423,Alexander Mattison,RB,,28.1,,,,,
424,KeAndre Lambert-Smith,WR,LAC,24.7,,,,,
425,Tyler Conklin,TE,DET,30.9,13,18.09,1.33,80,324
426,Zack Moss,RB,,28.6,,,,,
427,Jermaine Burton,WR,,25.0,0,,0.0,,
428,Jeremy McNichols,RB,WAS,30.5,17,30.69,4.28,70,183
429,AJ Dillon,RB,CAR,28.2,7,9.97,1.3,95,366
430,Rasheen Ali,RB,BAL,25.4,15,12.97,1.61,90,300
431,Zay Jones,WR,,31.3,8,48.89,3.79,114,280
236,Ty Johnson,RB,BUF,28.8,17,29.9,5.9,57,137
433,Demarcus Robinson,WR,SF,31.8,14,46.14,4.16,106,210
434,Greg Dortch,WR,DET,28.1,12,34.89,6.26,75,177
435,Xavier Hutchinson,WR,HOU,26.1,17,58.42,5.76,83,141
436,Odell Beckham,WR,NYG,33.7,,,,,
437,Mike Williams,WR,,31.8,,,,,
438,Brevin Jordan,TE,HOU,26.0,,,,,
439,Kenny Pickett,QB,CAR,28.1,6,25.73,1.29,57,57
192,Chris Brooks,RB,GB,,,,1.92,,
303,Malik Davis,RB,DAL,,,,4.06,,
