week,gameday,gametime,away_team,home_team,location
1,2023-09-07,20:20,DET,KC,Home
1,2023-09-10,13:00,CAR,ATL,Home
1,2023-09-10,13:00,HOU,BAL,Home
1,2023-09-10,13:00,CIN,CLE,Home
1,2023-09-10,13:00,JAX,IND,Home
1,2023-09-10,13:00,TB,MIN,Home
1,2023-09-10,13:00,TEN,NO,Home
1,2023-09-10,13:00,SF,PIT,Home
1,2023-09-10,13:00,ARI,WAS,Home
1,2023-09-10,16:25,GB,CHI,Home
1,2023-09-10,16:25,LV,DEN,Home
1,2023-09-10,16:25,MIA,LAC,Home
1,2023-09-10,16:25,PHI,NE,Home
1,2023-09-10,16:25,LA,SEA,Home
1,2023-09-10,20:20,DAL,NYG,Home
1,2023-09-11,20:15,BUF,NYJ,Home
2,2023-09-14,20:15,MIN,PHI,Home
2,2023-09-17,13:00,GB,ATL,Home
2,2023-09-17,13:00,LV,BUF,Home
2,2023-09-17,13:00,BAL,CIN,Home
2,2023-09-17,13:00,SEA,DET,Home
2,2023-09-17,13:00,IND,HOU,Home
2,2023-09-17,13:00,KC,JAX,Home
2,2023-09-17,13:00,CHI,TB,Home
2,2023-09-17,13:00,LAC,TEN,Home
2,2023-09-17,16:05,NYG,ARI,Home
2,2023-09-17,16:05,SF,LA,Home
2,2023-09-17,16:25,NYJ,DAL,Home
2,2023-09-17,16:25,WAS,DEN,Home
2,2023-09-17,20:20,MIA,NE,Home
2,2023-09-18,19:15,NO,CAR,Home
2,2023-09-18,20:15,CLE,PIT,Home
3,2023-09-21,20:15,NYG,SF,Home
3,2023-09-24,13:00,IND,BAL,Home
3,2023-09-24,13:00,TEN,CLE,Home
3,2023-09-24,13:00,ATL,DET,Home
3,2023-09-24,13:00,NO,GB,Home
3,2023-09-24,13:00,HOU,JAX,Home
3,2023-09-24,13:00,DEN,MIA,Home
3,2023-09-24,13:00,LAC,MIN,Home
3,2023-09-24,13:00,NE,NYJ,Home
3,2023-09-24,13:00,BUF,WAS,Home
3,2023-09-24,16:05,CAR,SEA,Home
3,2023-09-24,16:25,DAL,ARI,Home
3,2023-09-24,16:25,CHI,KC,Home
3,2023-09-24,20:20,PIT,LV,Home
3,2023-09-25,19:15,PHI,TB,Home
3,2023-09-25,20:15,LA,CIN,Home
4,2023-09-28,20:15,DET,GB,Home
4,2023-10-01,09:30,ATL,JAX,Neutral
4,2023-10-01,13:00,MIA,BUF,Home
4,2023-10-01,13:00,MIN,CAR,Home
4,2023-10-01,13:00,DEN,CHI,Home
4,2023-10-01,13:00,BAL,CLE,Home
4,2023-10-01,13:00,PIT,HOU,Home
4,2023-10-01,13:00,LA,IND,Home
4,2023-10-01,13:00,TB,NO,Home
4,2023-10-01,13:00,WAS,PHI,Home
4,2023-10-01,13:00,CIN,TEN,Home
4,2023-10-01,16:05,LV,LAC,Home
4,2023-10-01,16:25,NE,DAL,Home
4,2023-10-01,16:25,ARI,SF,Home
4,2023-10-01,20:20,KC,NYJ,Home
4,2023-10-02,20:15,SEA,NYG,Home
5,2023-10-05,20:15,CHI,WAS,Home
5,2023-10-08,09:30,JAX,BUF,Neutral
5,2023-10-08,13:00,HOU,ATL,Home
5,2023-10-08,13:00,CAR,DET,Home
5,2023-10-08,13:00,TEN,IND,Home
5,2023-10-08,13:00,NYG,MIA,Home
5,2023-10-08,13:00,NO,NE,Home
5,2023-10-08,13:00,BAL,PIT,Home
5,2023-10-08,16:05,CIN,ARI,Home
5,2023-10-08,16:05,PHI,LA,Home
5,2023-10-08,16:25,NYJ,DEN,Home
5,2023-10-08,16:25,KC,MIN,Home
5,2023-10-08,20:20,DAL,SF,Home
5,2023-10-09,20:15,GB,LV,Home
6,2023-10-12,20:15,DEN,KC,Home
6,2023-10-15,09:30,BAL,TEN,Neutral
6,2023-10-15,13:00,WAS,ATL,Home
6,2023-10-15,13:00,MIN,CHI,Home
6,2023-10-15,13:00,SEA,CIN,Home
6,2023-10-15,13:00,SF,CLE,Home
6,2023-10-15,13:00,NO,HOU,Home
6,2023-10-15,13:00,IND,JAX,Home
6,2023-10-15,13:00,CAR,MIA,Home
6,2023-10-15,16:05,NE,LV,Home
6,2023-10-15,16:25,ARI,LA,Home
6,2023-10-15,16:25,PHI,NYJ,Home
6,2023-10-15,16:25,DET,TB,Home
6,2023-10-15,20:20,NYG,BUF,Home
6,2023-10-16,20:15,DAL,LAC,Home
7,2023-10-19,20:15,JAX,NO,Home
7,2023-10-22,13:00,DET,BAL,Home
7,2023-10-22,13:00,LV,CHI,Home
7,2023-10-22,13:00,CLE,IND,Home
7,2023-10-22,13:00,BUF,NE,Home
7,2023-10-22,13:00,WAS,NYG,Home
7,2023-10-22,13:00,ATL,TB,Home
7,2023-10-22,16:05,PIT,LA,Home
7,2023-10-22,16:05,ARI,SEA,Home
7,2023-10-22,16:25,GB,DEN,Home
7,2023-10-22,16:25,LAC,KC,Home
7,2023-10-22,20:20,MIA,PHI,Home
7,2023-10-23,20:15,SF,MIN,Home
8,2023-10-26,20:15,TB,BUF,Home
8,2023-10-29,13:00,HOU,CAR,Home
8,2023-10-29,13:00,LA,DAL,Home
8,2023-10-29,13:00,MIN,GB,Home
8,2023-10-29,13:00,NO,IND,Home
8,2023-10-29,13:00,NE,MIA,Home
8,2023-10-29,13:00,NYJ,NYG,Home
8,2023-10-29,13:00,JAX,PIT,Home
8,2023-10-29,13:00,ATL,TEN,Home
8,2023-10-29,13:00,PHI,WAS,Home
8,2023-10-29,16:05,CLE,SEA,Home
8,2023-10-29,16:25,BAL,ARI,Home
8,2023-10-29,16:25,KC,DEN,Home
8,2023-10-29,16:25,CIN,SF,Home
8,2023-10-29,20:20,CHI,LAC,Home
8,2023-10-30,20:15,LV,DET,Home
9,2023-11-02,20:15,TEN,PIT,Home
9,2023-11-05,09:30,MIA,KC,Neutral
9,2023-11-05,13:00,MIN,ATL,Home
9,2023-11-05,13:00,SEA,BAL,Home
9,2023-11-05,13:00,ARI,CLE,Home
9,2023-11-05,13:00,LA,GB,Home
9,2023-11-05,13:00,TB,HOU,Home
9,2023-11-05,13:00,WAS,NE,Home
9,2023-11-05,13:00,CHI,NO,Home
9,2023-11-05,16:05,IND,CAR,Home
9,2023-11-05,16:25,NYG,LV,Home
9,2023-11-05,16:25,DAL,PHI,Home
9,2023-11-05,20:20,BUF,CIN,Home
9,2023-11-06,20:15,LAC,NYJ,Home
10,2023-11-09,20:15,CAR,CHI,Home
10,2023-11-12,09:30,IND,NE,Neutral
10,2023-11-12,13:00,CLE,BAL,Home
10,2023-11-12,13:00,HOU,CIN,Home
10,2023-11-12,13:00,SF,JAX,Home
10,2023-11-12,13:00,NO,MIN,Home
10,2023-11-12,13:00,GB,PIT,Home
10,2023-11-12,13:00,TEN,TB,Home
10,2023-11-12,16:05,ATL,ARI,Home
10,2023-11-12,16:05,DET,LAC,Home
10,2023-11-12,16:25,NYG,DAL,Home
10,2023-11-12,16:25,WAS,SEA,Home
10,2023-11-12,20:20,NYJ,LV,Home
10,2023-11-13,20:15,DEN,BUF,Home
11,2023-11-16,20:15,CIN,BAL,Home
11,2023-11-19,13:00,DAL,CAR,Home
11,2023-11-19,13:00,PIT,CLE,Home
11,2023-11-19,13:00,CHI,DET,Home
11,2023-11-19,13:00,LAC,GB,Home
11,2023-11-19,13:00,ARI,HOU,Home
11,2023-11-19,13:00,TEN,JAX,Home
11,2023-11-19,13:00,LV,MIA,Home
11,2023-11-19,13:00,NYG,WAS,Home
11,2023-11-19,16:05,TB,SF,Home
11,2023-11-19,16:25,NYJ,BUF,Home
11,2023-11-19,16:25,SEA,LA,Home
11,2023-11-19,20:20,MIN,DEN,Home
11,2023-11-20,20:15,PHI,KC,Home
12,2023-11-23,12:30,GB,DET,Home
12,2023-11-23,16:30,WAS,DAL,Home
12,2023-11-23,20:20,SF,SEA,Home
12,2023-11-24,15:00,MIA,NYJ,Home
12,2023-11-26,13:00,NO,ATL,Home
12,2023-11-26,13:00,PIT,CIN,Home
12,2023-11-26,13:00,JAX,HOU,Home
12,2023-11-26,13:00,TB,IND,Home
12,2023-11-26,13:00,NE,NYG,Home
12,2023-11-26,13:00,CAR,TEN,Home
12,2023-11-26,16:05,LA,ARI,Home
12,2023-11-26,16:05,CLE,DEN,Home
12,2023-11-26,16:25,KC,LV,Home
12,2023-11-26,16:25,BUF,PHI,Home
12,2023-11-26,20:20,BAL,LAC,Home
12,2023-11-27,20:15,CHI,MIN,Home
13,2023-11-30,20:15,SEA,DAL,Home
13,2023-12-03,13:00,DEN,HOU,Home
13,2023-12-03,13:00,LAC,NE,Home
13,2023-12-03,13:00,DET,NO,Home
13,2023-12-03,13:00,ATL,NYJ,Home
13,2023-12-03,13:00,ARI,PIT,Home
13,2023-12-03,13:00,IND,TEN,Home
13,2023-12-03,13:00,MIA,WAS,Home
13,2023-12-03,16:05,CAR,TB,Home
13,2023-12-03,16:25,CLE,LA,Home
13,2023-12-03,16:25,SF,PHI,Home
13,2023-12-03,20:20,KC,GB,Home
13,2023-12-04,20:15,CIN,JAX,Home
