name,position,team,pass_yds,pass_td,rush_yds,rush_td,rec,rec_yds,rec_td,return_td,off_fumble_return_td,two_pt,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50_plus,pat_made,def_td,def_safety,def_return_td,def_xp_returned,def_points_allowed
A.J. Brown,WR,PHI,0.0,0.0,0.0,0.0,106.0,1456.0,7.0,0.0,0,0.0,,,,,,,,,,,
A.T. Perry,WR,NO,0.0,0.0,0.0,0.0,12.0,246.0,4.0,0.0,0,0.0,,,,,,,,,,,
AJ Dillon,RB,GB,0.0,0.0,613.0,2.0,22.0,223.0,0.0,0.0,0,0.0,,,,,,,,,,,
AJ McCarron,QB,CIN,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Aaron Jones Sr.,RB,GB,0.0,0.0,656.0,2.0,30.0,233.0,1.0,0.0,0,0.0,,,,,,,,,,,
Adam Thielen,WR,CAR,0.0,0.0,6.0,0.0,103.0,1014.0,4.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Adam Trautman,TE,DEN,0.0,0.0,0.0,0.0,22.0,204.0,3.0,0.0,0,0.0,,,,,,,,,,,
Aidan O'Connell,QB,LV,2218.0,12.0,11.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Alec Pierce,WR,IND,0.0,0.0,0.0,0.0,32.0,514.0,2.0,0.0,0,0.0,,,,,,,,,,,
Alex Erickson,WR,LAC,0.0,0.0,0.0,0.0,16.0,232.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Alexander Mattison,RB,MIN,0.0,0.0,700.0,0.0,30.0,192.0,3.0,0.0,0,0.0,,,,,,,,,,,
Allen Lazard,WR,NYJ,0.0,0.0,0.0,0.0,23.0,311.0,1.0,0.0,0,0.0,,,,,,,,,,,
Alvin Kamara,RB,NO,0.0,0.0,694.0,5.0,75.0,466.0,1.0,0.0,0,3.0,,,,,,,,,,,
Amari Cooper,WR,CLE,0.0,0.0,0.0,0.0,72.0,1250.0,5.0,0.0,0,1.0,,,,,,,,,,,
Ameer Abdullah,RB,LV,0.0,0.0,89.0,0.0,19.0,131.0,0.0,0.0,0,0.0,,,,,,,,,,,
Amon-Ra St. Brown,WR,DET,0.0,0.0,24.0,0.0,119.0,1515.0,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Anders Carlson,K,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.0,14.0,4.0,3.0,34.0,,,,,
Andrei Iosivas,WR,CIN,0.0,0.0,0.0,0.0,15.0,116.0,4.0,0.0,0,0.0,,,,,,,,,,,
Andy Dalton,QB,PHI,361.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Anthony Richardson Sr.,QB,IND,577.0,3.0,136.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Antonio Gibson,RB,WSH,0.0,0.0,265.0,1.0,48.0,389.0,2.0,0.0,0,0.0,,,,,,,,,,,
Arizona Cardinals,DEF,ARI,,,,,,,,,,,,,,,,,0,0,0,0,455.0
Atlanta Falcons,DEF,ATL,,,,,,,,,,,,,,,,,0,0,0,0,373.0
Austin Ekeler,RB,LAC,0.0,0.0,628.0,5.0,51.0,436.0,1.0,0.0,0,0.0,,,,,,,,,,,
Austin Hooper,TE,LV,0.0,0.0,0.0,0.0,25.0,234.0,0.0,0.0,0,0.0,,,,,,,,,,,
Austin Seibert,K,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,
Austin Trammell,WR,LAR,0.0,0.0,0.0,0.0,4.0,29.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Bailey Zappe,QB,NE,1272.0,6.0,83.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Baker Mayfield,QB,TB,4044.0,28.0,163.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Baltimore Ravens,DEF,BAL,,,,,,,,,,,,,,,,,0,0,0,0,280.0
Bam Knight,RB,DET,0.0,0.0,13.0,0.0,1.0,8.0,0.0,0.0,0,0.0,,,,,,,,,,,
Bijan Robinson,RB,ATL,0.0,0.0,976.0,4.0,58.0,487.0,4.0,0.0,0,0.0,,,,,,,,,,,
Blaine Gabbert,QB,KC,185.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Blake Grupe,K,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,10.0,6.0,8.0,6.0,40.0,,,,,
Bo Melton,WR,GB,0.0,0.0,21.0,0.0,16.0,218.0,1.0,0.0,0,0.0,,,,,,,,,,,
Boston Scott,RB,PHI,0.0,0.0,86.0,0.0,4.0,52.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Brandin Cooks,WR,DAL,0.0,0.0,35.0,0.0,54.0,657.0,8.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Brandon Aiyuk,WR,SF,0.0,0.0,0.0,0.0,75.0,1342.0,7.0,0.0,0,0.0,,,,,,,,,,,
Brandon Aubrey,K,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,9.0,13.0,4.0,10.0,49.0,,,,,
Brandon Bolden,RB,LV,0.0,0.0,31.0,1.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,
Brandon Johnson,WR,DEN,0.0,0.0,0.0,0.0,19.0,284.0,4.0,0.0,0,1.0,,,,,,,,,,,
Brandon McManus,K,JAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,10.0,11.0,5.0,35.0,,,,,
Brandon Powell,WR,MIN,0.0,0.0,17.0,0.0,29.0,324.0,1.0,0.0,0,0.0,,,,,,,,,,,
Braxton Berrios,WR,MIA,0.0,0.0,11.0,0.0,27.0,238.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Breece Hall,RB,NYJ,0.0,0.0,994.0,5.0,76.0,591.0,4.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Brett Maher,K,LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,4.0,7.0,3.0,13.0,,,,,
Brett Rypien,QB,NYJ,172.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Brevin Jordan,TE,HOU,0.0,0.0,0.0,0.0,17.0,219.0,2.0,0.0,0,0.0,,,,,,,,,,,
Brian Hoyer,QB,LV,231.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Brian Robinson Jr.,RB,WSH,0.0,0.0,733.0,5.0,36.0,368.0,4.0,0.0,0,1.0,,,,,,,,,,,
Brock Purdy,QB,SF,4280.0,31.0,144.0,2.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Brock Wright,TE,DET,0.0,0.0,0.0,0.0,13.0,91.0,1.0,0.0,0,0.0,,,,,,,,,,,
Bryce Young,QB,CAR,2877.0,11.0,253.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Brycen Hopkins,TE,LAR,0.0,0.0,0.0,0.0,5.0,78.0,0.0,0.0,0,0.0,,,,,,,,,,,
Buffalo Bills,DEF,BUF,,,,,,,,,,,,,,,,,0,0,0,0,311.0
C.J. Beathard,QB,JAX,349.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
C.J. Stroud,QB,HOU,4108.0,23.0,167.0,3.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Cade Otton,TE,TB,0.0,0.0,0.0,0.0,47.0,455.0,4.0,0.0,0,1.0,,,,,,,,,,,
Cairo Santos,K,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,9.0,11.0,8.0,7.0,31.0,,,,,
Calvin Austin III,WR,PIT,0.0,0.0,57.0,1.0,17.0,180.0,1.0,0.0,0,0.0,,,,,,,,,,,
Calvin Ridley,WR,JAX,0.0,0.0,23.0,0.0,76.0,1016.0,8.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Cam Akers,RB,MIN,0.0,0.0,167.0,2.0,11.0,70.0,0.0,0.0,0,0.0,,,,,,,,,,,
Cameron Dicker,K,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7.0,8.0,9.0,7.0,35.0,,,,,
Carolina Panthers,DEF,CAR,,,,,,,,,,,,,,,,,0,0,0,0,416.0
Carson Wentz,QB,LAR,163.0,2.0,56.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Case Keenum,QB,HOU,291.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Cedric Tillman,WR,CLE,0.0,0.0,8.0,0.0,21.0,224.0,0.0,0.0,0,0.0,,,,,,,,,,,
Cedrick Wilson Jr.,WR,MIA,0.0,0.0,0.0,0.0,22.0,296.0,3.0,0.0,0,0.0,,,,,,,,,,,
CeeDee Lamb,WR,DAL,0.0,0.0,113.0,2.0,135.0,1749.0,12.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Chad Ryland,K,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,5.0,5.0,2.0,24.0,,,,,
Charlie Jones,WR,CIN,0.0,0.0,13.0,0.0,7.0,64.0,0.0,1.0,0,0.0,,,,,,,,,,,
Charlie Kolar,TE,BAL,0.0,0.0,0.0,0.0,7.0,87.0,1.0,0.0,0,0.0,,,,,,,,,,,
Chase Brown,RB,CIN,0.0,0.0,179.0,0.0,14.0,156.0,1.0,0.0,0,0.0,,,,,,,,,,,
Chase Edmonds,RB,TB,0.0,0.0,176.0,0.0,14.0,81.0,0.0,0.0,0,0.0,,,,,,,,,,,
