overall_pick,round,pick_in_round,team,player_resolved,player_raw
102,12,3,Just Bout Dat Action,Nick Folk,Nick Folk
103,12,4,Sportos,Cameron Dicker,Cameron Dicker
104,12,5,Let's Ride,Jake Elliott,Jake Elliott
105,12,6,ChronicMasterdeflatr,Matt Gay,Matt Gay
106,12,7,Elite,Jason Sanders,Jason Sanders
107,12,8,Redskins,Dallas Cowboys,Dallas Cowboys
108,12,9,Greendawgs,Jamaal Williams,Jamaal Williams
109,13,1,Greendawgs,Dalvin Cook,Dalvin Cook
110,13,2,Redskins,Chris Boswell,Chris Boswell
111,13,3,Elite,James Conner,James Conner
112,13,4,ChronicMasterdeflatr,Chad Ryland,Chad Ryland
113,13,5,Let's Ride,Philadelphia Eagles,Philadelphia Eagles
114,13,6,Sportos,Denver Broncos,Denver Broncos
115,13,7,Just Bout Dat Action,Buffalo Bills,Buffalo Bills
116,13,8,Hoofers,Samaje Perine,Samaje Perine
117,13,9,Ryan's Remarkable Team,David Montgomery,David Montgomery
118,14,1,Ryan's Remarkable Team,New York Jets,New York Jets
119,14,2,Hoofers,Baltimore Ravens,Baltimore Ravens
120,14,3,Just Bout Dat Action,Russell Wilson,Russell Wilson
121,14,4,Sportos,Skyy Moore,Skyy Moore
122,14,5,Let's Ride,Brandon McManus,Brandon McManus
123,14,6,ChronicMasterdeflatr,Mike Evans,Mike Evans
124,14,7,Elite,Miami Dolphins,Miami Dolphins
125,14,8,Redskins,Riley Patterson,Riley Patterson
126,14,9,Greendawgs,Wil Lutz,Wil Lutz
