week,gameday,gametime,away_team,home_team,location
1,2015-09-10,20:30,PIT,NE,Home
1,2015-09-13,13:00,IND,BUF,Home
1,2015-09-13,13:00,GB,CHI,Home
1,2015-09-13,13:00,KC,HOU,Home
1,2015-09-13,13:00,CAR,JAX,Home
1,2015-09-13,13:00,CLE,NYJ,Home
1,2015-09-13,13:00,SEA,STL,Home
1,2015-09-13,13:00,MIA,WAS,Home
1,2015-09-13,16:05,NO,ARI,Home
1,2015-09-13,16:05,DET,SD,Home
1,2015-09-13,16:25,BAL,DEN,Home
1,2015-09-13,16:25,CIN,OAK,Home
1,2015-09-13,16:25,TEN,TB,Home
1,2015-09-13,20:30,NYG,DAL,Home
1,2015-09-14,19:10,PHI,ATL,Home
1,2015-09-14,22:20,MIN,SF,Home
2,2015-09-17,20:25,DEN,KC,Home
2,2015-09-20,13:00,NE,BUF,Home
2,2015-09-20,13:00,HOU,CAR,Home
2,2015-09-20,13:00,ARI,CHI,Home
2,2015-09-20,13:00,SD,CIN,Home
2,2015-09-20,13:00,TEN,CLE,Home
2,2015-09-20,13:00,DET,MIN,Home
2,2015-09-20,13:00,TB,NO,Home
2,2015-09-20,13:00,ATL,NYG,Home
2,2015-09-20,13:00,SF,PIT,Home
2,2015-09-20,13:00,STL,WAS,Home
2,2015-09-20,16:05,MIA,JAX,Home
2,2015-09-20,16:05,BAL,OAK,Home
2,2015-09-20,16:25,DAL,PHI,Home
2,2015-09-20,20:30,SEA,GB,Home
2,2015-09-21,20:30,NYJ,IND,Home
3,2015-09-24,20:25,WAS,NYG,Home
3,2015-09-27,13:00,CIN,BAL,Home
3,2015-09-27,13:00,NO,CAR,Home
3,2015-09-27,13:00,OAK,CLE,Home
3,2015-09-27,13:00,ATL,DAL,Home
3,2015-09-27,13:00,TB,HOU,Home
3,2015-09-27,13:00,SD,MIN,Home
3,2015-09-27,13:00,JAX,NE,Home
3,2015-09-27,13:00,PHI,NYJ,Home
3,2015-09-27,13:00,PIT,STL,Home
3,2015-09-27,13:00,IND,TEN,Home
3,2015-09-27,16:05,SF,ARI,Home
3,2015-09-27,16:25,BUF,MIA,Home
3,2015-09-27,16:25,CHI,SEA,Home
3,2015-09-27,20:30,DEN,DET,Home
3,2015-09-28,20:30,KC,GB,Home
4,2015-10-01,20:25,BAL,PIT,Home
4,2015-10-04,09:30,NYJ,MIA,Neutral
4,2015-10-04,13:00,HOU,ATL,Home
4,2015-10-04,13:00,NYG,BUF,Home
4,2015-10-04,13:00,OAK,CHI,Home
4,2015-10-04,13:00,KC,CIN,Home
4,2015-10-04,13:00,JAX,IND,Home
4,2015-10-04,13:00,CAR,TB,Home
4,2015-10-04,13:00,PHI,WAS,Home
4,2015-10-04,16:05,CLE,SD,Home
4,2015-10-04,16:25,STL,ARI,Home
4,2015-10-04,16:25,MIN,DEN,Home
4,2015-10-04,16:25,GB,SF,Home
4,2015-10-04,20:30,DAL,NO,Home
4,2015-10-05,20:30,DET,SEA,Home
5,2015-10-08,20:25,IND,HOU,Home
5,2015-10-11,13:00,WAS,ATL,Home
5,2015-10-11,13:00,CLE,BAL,Home
5,2015-10-11,13:00,SEA,CIN,Home
5,2015-10-11,13:00,STL,GB,Home
5,2015-10-11,13:00,CHI,KC,Home
5,2015-10-11,13:00,NO,PHI,Home
5,2015-10-11,13:00,JAX,TB,Home
5,2015-10-11,13:00,BUF,TEN,Home
5,2015-10-11,16:05,ARI,DET,Home
5,2015-10-11,16:25,NE,DAL,Home
5,2015-10-11,16:25,DEN,OAK,Home
5,2015-10-11,20:30,SF,NYG,Home
5,2015-10-12,20:30,PIT,SD,Home
6,2015-10-15,20:25,ATL,NO,Home
6,2015-10-18,13:00,CIN,BUF,Home
6,2015-10-18,13:00,DEN,CLE,Home
6,2015-10-18,13:00,CHI,DET,Home
6,2015-10-18,13:00,HOU,JAX,Home
6,2015-10-18,13:00,KC,MIN,Home
6,2015-10-18,13:00,WAS,NYJ,Home
6,2015-10-18,13:00,ARI,PIT,Home
6,2015-10-18,13:00,MIA,TEN,Home
6,2015-10-18,16:05,CAR,SEA,Home
6,2015-10-18,16:25,SD,GB,Home
6,2015-10-18,16:25,BAL,SF,Home
6,2015-10-18,20:30,NE,IND,Home
6,2015-10-19,20:30,NYG,PHI,Home
7,2015-10-22,20:25,SEA,SF,Home
7,2015-10-25,09:30,BUF,JAX,Neutral
7,2015-10-25,13:00,MIN,DET,Home
