timestamp,date_raw,team,type,player_added_raw,player_added_resolved,player_added_nfl_team,player_added_pos,player_dropped_raw,player_dropped_resolved,player_dropped_nfl_team,player_dropped_pos,counterparty_team,raw_line
2024-09-03T00:00:00,Sep 3,Elite,commissioner_drop,,,,,Stefon Diggs,Stefon Diggs,NE,WR,,Stefon Diggs NE-WR — Dropped by Commissioner — Elite — Sep 3
2024-09-03T00:00:01,Sep 3,Let's Ride,commissioner_drop,,,,,Rome Odunze,Rome Odunze,CHI,WR,,Rome Odunze Chi-WR — Dropped by Commissioner — Let's Ride — Sep 3
2024-09-03T00:00:02,Sep 3,Let's Ride,commissioner_add,Stefon Diggs,Stefon Diggs,NE,WR,,,,,,Stefon Diggs NE-WR — Added by Commissioner — Let's Ride — Sep 3
2024-09-04T00:00:00,Sep 4,Elite,commissioner_add,Jake Bates,Jake Bates,DET,K,,,,,,Jake Bates Det-K — Added by Commissioner — Elite — Sep 4
2024-09-04T00:00:01,Sep 4,Elite,waiver,,,,,Jake Bates,Jake Bates,DET,K,,Jake Bates Det-K (TFA) — Elite — Sep 4
2024-09-04T00:00:02,Sep 4,Elite,waiver,Chase McLaughlin,Chase McLaughlin,TB,K,,,,,,Chase McLaughlin TB-K (FA) — Elite — Sep 4
2024-09-04T00:00:03,Sep 4,JBDA,waiver,Christian Kirk,Christian Kirk,SF,WR,Jayden Reed,Jayden Reed,GB,WR,,Christian Kirk SF-WR (FA)/Jayden Reed GB-WR (TFA) — JBDA — Sep 4
2024-09-04T00:00:04,Sep 4,Elite,waiver,,,,,Chase McLaughlin,Chase McLaughlin,TB,K,,Chase McLaughlin TB-K (TFA) — Elite — Sep 4
2024-09-04T00:00:05,Sep 4,Elite,waiver,Chris Boswell,Chris Boswell,PIT,K,,,,,,Chris Boswell Pit-K (FA) — Elite — Sep 4
2024-09-11T00:00:00,Sep 11,Redskins,waiver,Jayden Reed,Jayden Reed,GB,WR,Terry McLaurin,Terry McLaurin,WAS,WR,,Jayden Reed GB-WR (FA)/Terry McLaurin Was-WR (TFA) — Redskins — Sep 11
2024-09-11T00:00:01,Sep 11,Redskins,waiver,Allen Lazard,Allen Lazard,NYJ,WR,Diontae Johnson,Diontae Johnson,CLE,WR,,Allen Lazard NYJ-WR (FA)/Diontae Johnson Cle-WR (TFA) — Redskins — Sep 11
2024-09-11T00:00:02,Sep 11,Redskins,waiver,Jordan Mason,Jordan Mason,MIN,RB,Caleb Williams,Caleb Williams,CHI,QB,,Jordan Mason Min-RB (FA)/Caleb Williams Chi-QB (TFA) — Redskins — Sep 11
2024-09-11T00:00:03,Sep 11,Redskins,waiver,J.K. Dobbins,J.K. Dobbins,DEN,RB,Raheem Mostert,Raheem Mostert,LV,RB,,J.K. Dobbins Den-RB (FA)/Raheem Mostert LV-RB (TFA) — Redskins — Sep 11
2024-09-11T00:00:04,Sep 11,ChronicMasterdeflatr,waiver,Jake Bates,Jake Bates,DET,K,Matt Gay,Matt Gay,LV,K,,Jake Bates Det-K (FA)/Matt Gay LV-K (TFA) — ChronicMasterdeflatr — Sep 11
2024-09-11T00:00:05,Sep 11,ChronicMasterdeflatr,waiver,Joshua Karty,Joshua Karty,ARI,K,Younghoe Koo,Younghoe Koo,NYG,K,,Joshua Karty Ari-K (FA)/Younghoe Koo NYG-K (TFA) — ChronicMasterdeflatr — Sep 11
2024-09-11T00:00:06,Sep 11,ChronicMasterdeflatr,waiver,Pittsburgh Steelers,Pittsburgh Steelers,PIT,DEF,Kansas City Chiefs,Kansas City Chiefs,KC,DEF,,Steelers Pit-DEF (FA)/Chiefs KC-DEF (TFA) — ChronicMasterdeflatr — Sep 11
2024-09-11T00:00:07,Sep 11,Greendawgs,waiver,Ezekiel Elliott,Ezekiel Elliott,DAL,RB,Gus Edwards,Gus Edwards,LAC,RB,,Ezekiel Elliott Dal-RB (FA)/Gus Edwards LAC-RB (TFA) — Greendawgs — Sep 11
2024-09-11T00:00:08,Sep 11,Greendawgs,waiver,Alec Pierce,Alec Pierce,IND,WR,DeAndre Hopkins,DeAndre Hopkins,BAL,WR,,Alec Pierce Ind-WR (FA)/DeAndre Hopkins Bal-WR (TFA) — Greendawgs — Sep 11
2024-09-11T00:00:09,Sep 11,Greendawgs,waiver,Demarcus Robinson,Demarcus Robinson,SF,WR,Blake Corum,Blake Corum,LA,RB,,Demarcus Robinson SF-WR (FA)/Blake Corum LAR-RB (TFA) — Greendawgs — Sep 11
2024-09-11T00:00:10,Sep 11,Greendawgs,waiver,Jerome Ford,Jerome Ford,WAS,RB,Ezekiel Elliott,Ezekiel Elliott,DAL,RB,,Jerome Ford Was-RB (FA)/Ezekiel Elliott Dal-RB (TFA) — Greendawgs — Sep 11
2024-09-11T00:00:11,Sep 11,JBDA,waiver,Chris Godwin Jr.,Chris Godwin Jr.,TB,WR,Christian Kirk,Christian Kirk,SF,WR,,Chris Godwin Jr. TB-WR (FA)/Christian Kirk SF-WR (TFA) — JBDA — Sep 11
2024-09-11T00:00:12,Sep 11,JBDA,waiver,Brian Robinson,Brian Robinson,ATL,RB,Tee Higgins,Tee Higgins,CIN,WR,,Brian Robinson Atl-RB (FA)/Tee Higgins Cin-WR (TFA) — JBDA — Sep 11
2024-09-11T00:00:13,Sep 11,JBDA,waiver,Chase McLaughlin,Chase McLaughlin,TB,K,Matt Prater,Matt Prater,BUF,K,,Chase McLaughlin TB-K (FA)/Matt Prater Buf-K (TFA) — JBDA — Sep 11
2024-09-11T00:00:14,Sep 11,Cardinals,waiver,Tee Higgins,Tee Higgins,CIN,WR,Jaxon Smith-Njigba,Jaxon Smith-Njigba,SEA,WR,,Tee Higgins Cin-WR (FA)/Jaxon Smith-Njigba Sea-WR (TFA) — Cardinals — Sep 11
2024-09-11T00:00:15,Sep 11,Hoofers,waiver,Isaiah Likely,Isaiah Likely,NYG,TE,Evan Engram,Evan Engram,DEN,TE,,Isaiah Likely NYG-TE (FA)/Evan Engram Den-TE (TFA) — Hoofers — Sep 11
2024-09-11T00:00:16,Sep 11,Hoofers,waiver,Blake Grupe,Blake Grupe,IND,K,Greg Zuerlein,Greg Zuerlein,NYJ,K,,Blake Grupe Ind-K (FA)/Greg Zuerlein NYJ-K (TFA) — Hoofers — Sep 11
2024-09-11T00:00:17,Sep 11,Sportos,waiver,Tony Pollard,Tony Pollard,TEN,RB,Justin Herbert,Justin Herbert,LAC,QB,,Tony Pollard Ten-RB (FA)/Justin Herbert LAC-QB (TFA) — Sportos — Sep 11
2024-09-11T00:00:18,Sep 11,Sportos,waiver,Houston Texans,Houston Texans,HOU,DEF,Cincinnati Bengals,Cincinnati Bengals,CIN,DEF,,Texans Hou-DEF (FA)/Bengals Cin-DEF (TFA) — Sportos — Sep 11
2024-09-11T00:00:19,Sep 11,Sportos,waiver,Brian Thomas Jr.,Brian Thomas Jr.,JAX,WR,Courtland Sutton,Courtland Sutton,DEN,WR,,Brian Thomas Jr. Jax-WR (FA)/Courtland Sutton Den-WR (TFA) — Sportos — Sep 11
2024-09-18T00:00:00,Sep 18,Greendawgs,waiver,Carson Steele,Carson Steele,PHI,RB,Austin Ekeler,Austin Ekeler,WAS,RB,,Carson Steele Phi-RB (FA)/Austin Ekeler Was-RB (TFA) — Greendawgs — Sep 18
