player,season,games_missed_injury
Jordan Whittington,2024,7
Josh Allen,2024,2
Josh Downs,2024,3
Josh Oliver,2024,5
Josh Palmer,2024,2
Josh Reynolds,2024,9
Joshua Karty,2024,1
Josiah Deguara,2024,11
JuJu Smith-Schuster,2024,7
Julian Hill,2024,3
Julius Chestnut,2024,7
Justice Hill,2024,3
Justin Fields,2024,7
Justin Shorter,2024,18
Juwan Johnson,2024,2
K.J. Osborn,2024,10
Kalif Raymond,2024,6
Kameron Johnson,2024,15
Kareem Hunt,2024,4
Kayshon Boutte,2024,2
Keaton Mitchell,2024,14
Keenan Allen,2024,2
Keilan Robinson,2024,16
Kendre Miller,2024,11
Kendrick Bourne,2024,5
Kene Nwangwu,2024,15
Kenny McIntosh,2024,8
Kenny Pickett,2024,13
Kenny Yeboah,2024,11
Keon Coleman,2024,4
KhaDarel Hodge,2024,9
Khalil Shakir,2024,2
Kirk Cousins,2024,3
Ko Kieft,2024,16
Kyren Williams,2024,1
Ladd McConkey,2024,1
Luke McCaffrey,2024,5
Luke Musgrave,2024,12
Malachi Corley,2024,12
Malik Nabers,2024,2
Malik Washington,2024,4
Malik Willis,2024,11
MarShawn Lloyd,2024,17
Marcedes Lewis,2024,26
Marcus Mariota,2024,15
Marquez Valdes-Scantling,2024,4
Marquise Brown,2024,15
Matt Gay,2024,4
Matt Prater,2024,13
Matthew Stafford,2024,1
Matthew Wright,2024,12
Mecole Hardman,2024,9
Michael Carter,2024,14
Michael Mayer,2024,6
Michael Pittman,2024,1
Michael Wilson,2024,1
Mike Evans,2024,3
Mike Gesicki,2024,1
Mike Williams,2024,4
Mike Woods,2024,12
Miles Sanders,2024,6
Mitchell Trubisky,2024,14
Mo Alie-Cox,2024,5
MyCole Pruitt,2024,12
Nate Adkins,2024,3
Nelson Agholor,2024,4
Nick Chubb,2024,9
Nick Folk,2024,4
Nick Vannett,2024,5
Nick Westbrook-Ikhine,2024,3
Nico Collins,2024,6
Nikko Remigio,2024,14
Noah Brown,2024,6
Noah Fant,2024,3
Noah Gray,2024,1
Olamide Zaccheaus,2024,1
Parker Washington,2024,3
Patrick Mahomes,2024,1
Payne Durham,2024,10
Peyton Hendershot,2024,13
Pharaoh Brown,2024,9
Pierre Strong,2024,5
Princeton Fant,2024,17
Puka Nacua,2024,6
Quentin Johnston,2024,2
Quintin Morris,2024,20
Rachaad White,2024,2
Raheem Blackshear,2024,4
Raheem Mostert,2024,4
Rakim Jarrett,2024,10
Rashee Rice,2024,14
Rasheen Ali,2024,14
Rashid Shaheed,2024,11
Rashod Bateman,2024,1
Ray Davis,2024,2
Reggie Gilliam,2024,14
Rhamondre Stevenson,2024,2
Ricky Pearsall,2024,6
Rico Dowdle,2024,1
River Cracraft,2024,13
Robert Woods,2024,5
Romeo Doubs,2024,4
Roschon Johnson,2024,4
Ross Dwelley,2024,16
Russell Wilson,2024,6
Ryan Flournoy,2024,10
Sam LaPorta,2024,1
Saquon Barkley,2024,1
Shane Zylstra,2024,16
Simi Fehoko,2024,12
Sione Vaki,2024,9
Skylar Thompson,2024,15
Skyy Moore,2024,14
Spencer Rattler,2024,10
Spencer Shrader,2024,13
Stefon Diggs,2024,9
Sterling Shepard,2024,4
Steven Sims,2024,8
Stone Smartt,2024,10
T.J. Hockenson,2024,7
Tank Bigsby,2024,3
Tank Dell,2024,3
Tanner Hudson,2024,9
Taysom Hill,2024,10
Tee Higgins,2024,5
Theo Johnson,2024,6
Tim Jones,2024,10
Tip Reiman,2024,9
Tommy DeVito,2024,16
Tommy Tremble,2024,7
Tony Pollard,2024,1
Travis Etienne,2024,3
Travis Homer,2024,10
Travis Kelce,2024,1
Trent Sherfield,2024,4
Trevor Lawrence,2024,7
Trey Benson,2024,6
Trey McBride,2024,1
Trey Palmer,2024,4
Trey Sermon,2024,2
Treylon Burks,2024,13
Troy Franklin,2024,1
Tua Tagovailoa,2024,6
Tutu Atwell,2024,2
Ty Chandler,2024,4
Ty Johnson,2024,1
Tyjae Spears,2024,5
Tylan Wallace,2024,6
Tyler Allgeier,2024,2
Tyler Badie,2024,15
Tyler Boyd,2024,2
Tyler Conklin,2024,2
Tyler Higbee,2024,14
Tyler Huntley,2024,12
Tyquan Thornton,2024,13
Tyreik McAllister,2024,16
Van Jefferson,2024,2
Will Dissly,2024,2
Will Levis,2024,5
Will Reichard,2024,5
Will Shipley,2024,5
Xavier Hutchinson,2024,4
Xavier Legette,2024,2
Xavier Weaver,2024,15
Xavier Worthy,2024,1
Younghoe Koo,2024,4
Zach Charbonnet,2024,1
Zach Ertz,2024,1
Zack Moss,2024,9
Zamir White,2024,11
Zane Gonzalez,2024,13
Zay Jones,2024,12
