player,season,games_missed_injury
A.J. Brown,2024,4
Adam Thielen,2024,7
Adam Trautman,2024,4
Aidan O'Connell,2024,8
Ainias Smith,2024,15
Alec Pierce,2024,1
Alexander Mattison,2024,3
Allen Lazard,2024,5
Allen Robinson,2024,12
Alvin Kamara,2024,3
Amari Cooper,2024,4
Ameer Abdullah,2024,3
Andy Dalton,2024,11
Anthony Richardson,2024,6
Antonio Gibson,2024,3
Ashton Dulin,2024,6
Austin Ekeler,2024,5
Austin Seibert,2024,9
Ben Sinnott,2024,12
Ben Skowronek,2024,10
Ben VanSumeren,2024,15
Blake Grupe,2024,1
Blake Whiteheart,2024,10
Brady Russell,2024,16
Braelon Allen,2024,1
Brandin Cooks,2024,7
Brandon Allen,2024,14
Brandon Aubrey,2024,2
Brandon Powell,2024,3
Braxton Berrios,2024,12
Brayden Narveson,2024,11
Breece Hall,2024,1
Brenton Strange,2024,3
Brian Robinson,2024,3
Britain Covey,2024,13
Brock Purdy,2024,2
Bryce Ford-Wheaton,2024,18
Bryce Oliver,2024,10
Bryce Young,2024,3
Bub Means,2024,13
Bucky Irving,2024,1
C.J. Uzomah,2024,15
Cade Otton,2024,3
Cade Stover,2024,3
Cam Akers,2024,2
Cameron Dicker,2024,1
Carson Steele,2024,5
Casey Washington,2024,16
Cedric Tillman,2024,8
CeeDee Lamb,2024,2
Charlie Jones,2024,10
Charlie Kolar,2024,7
Charlie Woerner,2024,5
Chase Brown,2024,1
Chase McLaughlin,2024,1
Chris Boswell,2024,1
Chris Conley,2024,11
Chris Manhertz,2024,9
Chris Olave,2024,9
Christian Kirk,2024,9
Christian McCaffrey,2024,13
Christian Watson,2024,4
Chuba Hubbard,2024,2
Clyde Edwards-Helaire,2024,15
Cole Kmet,2024,1
Colson Yankoff,2024,14
Cooper Kupp,2024,5
Cooper Rush,2024,5
Cordarrelle Patterson,2024,7
Craig Reynolds,2024,9
Curtis Samuel,2024,3
D'Ernest Johnson,2024,6
D'Onta Foreman,2024,8
DK Metcalf,2024,2
Dak Prescott,2024,9
Dallas Goedert,2024,8
Dallin Holker,2024,14
Dalton Kincaid,2024,5
Dameon Pierce,2024,8
Darius Slayton,2024,1
Darnell Mooney,2024,1
Darnell Washington,2024,4
Darrynton Evans,2024,16
Davante Adams,2024,3
David Bell,2024,16
David Montgomery,2024,3
David Moore,2024,2
David Njoku,2024,6
Davis Allen,2024,13
Davis Mills,2024,13
Dawson Knox,2024,3
DeAndre Carter,2024,5
DeAndre Hopkins,2024,1
DeVonta Smith,2024,4
DeeJay Dallas,2024,2
Deonte Harty,2024,14
Derek Carr,2024,7
Derius Davis,2024,5
Desmond Ridder,2024,12
Devaughn Vele,2024,4
Devin Culp,2024,16
Devin Duvernay,2024,5
Devin Singletary,2024,3
Diontae Johnson,2024,6
Dorian Thompson-Robinson,2024,14
Drake Maye,2024,5
Drew Lock,2024,10
Drew Sample,2024,6
Dyami Brown,2024,2
Dylan Laube,2024,12
Emanuel Wilson,2024,1
Emari Demercado,2024,5
Erick All,2024,9
Evan Engram,2024,8
Ezekiel Elliott,2024,2
Feleipe Franks,2024,10
Foster Moreau,2024,1
Gabe Davis,2024,7
Gardner Minshew,2024,7
Geoff Swaim,2024,14
George Kittle,2024,2
George Pickens,2024,3
Graham Gano,2024,9
Grant Calcaterra,2024,2
Grant DuBose,2024,15
Greg Dulcich,2024,13
Greg Joseph,2024,9
Greg Zuerlein,2024,9
Gus Edwards,2024,8
Harrison Bryant,2024,11
Harrison Butker,2024,6
Hassan Haskins,2024,6
Hayden Hurst,2024,13
Hunter Henry,2024,1
Hunter Long,2024,6
Hunter Luepke,2024,4
Ian Thomas,2024,14
Ihmir Smith-Marsette,2024,3
Isaac Guerendo,2024,3
Isaiah Davis,2024,5
Isaiah Likely,2024,2
Isaiah Williams,2024,9
Isiah Pacheco,2024,10
J.K. Dobbins,2024,4
Ja'Lynn Polk,2024,4
Ja'Tavion Sanders,2024,2
Jack Stoll,2024,13
Jacob Cowing,2024,5
Jaelon Darden,2024,7
Jaheim Bell,2024,13
Jake Bobo,2024,5
Jake Ferguson,2024,4
Jake Moody,2024,4
Jakobi Meyers,2024,2
Jaleel McLaughlin,2024,2
Jalen Brooks,2024,8
Jalen Coker,2024,6
Jalen Hurts,2024,3
Jalen McMillan,2024,5
Jalen Nailor,2024,2
Jalen Reagor,2024,10
Jalin Hyatt,2024,7
Jamaal Williams,2024,4
Jamari Thrash,2024,12
Jameis Winston,2024,6
James Conner,2024,2
James Cook,2024,1
Jameson Williams,2024,2
Jamison Crowder,2024,13
Jared Wiley,2024,17
Jase McClellan,2024,15
Jauan Jennings,2024,2
Javon Baker,2024,12
Jaylen Waddle,2024,2
Jaylen Warren,2024,2
Jeremy McNichols,2024,3
Jermaine Burton,2024,10
Jerome Ford,2024,3
Joe Mixon,2024,4
Joey Slye,2024,1
John Bates,2024,4
John FitzPatrick,2024,17
Johnny Wilson,2024,8
Jonathan Taylor,2024,3
Jonathon Brooks,2024,15
Jordan Addison,2024,2
Jordan Love,2024,2
Jordan Mason,2024,7
