name,position,team,pass_yds,pass_td,rush_yds,rush_td,rec,rec_yds,rec_td,return_td,off_fumble_return_td,two_pt,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50_plus,pat_made,def_td,def_safety,def_return_td,def_xp_returned,def_points_allowed
Isaac TeSlaa,WR,DET,0.0,0.0,0.0,0.0,16.0,239.00000000000003,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Bond,WR,CLE,0.0,0.0,30.8125,0.0,19.125,359.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Davis,RB,NYJ,0.0,0.0,228.17647058823528,1.0441176470588234,18.397058823529413,161.55882352941177,0.29411764705882354,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Theo Wease Jr.,WR,MIA,0.0,0.0,0.0,0.0,34.0,787.6666666666667,5.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Patrick,WR,NYJ,0.0,0.0,0.0,0.0,21.5625,263.375,3.1875,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tommy Tremble,TE,CAR,0.0,0.0,0.0,0.0,28.011458333333334,263.19374999999997,2.3864583333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tony Pollard,RB,TEN,0.0,0.0,1086.559375,5.228125,38.940625,233.46874999999997,0.0,0.0,0.0,0.415625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tory Horton,WR,SEA,0.0,0.0,0.0,0.0,27.625,342.125,10.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Travis Etienne Jr.,RB,NO,0.0,0.0,973.5,6.416666666666666,41.349999999999994,318.56666666666666,3.75,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Travis Hunter,WR,JAX,0.0,0.0,0.0,0.0,68.0,723.7142857142857,2.4285714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Travis Kelce,TE,KC,0.0,0.0,0.865625,0.0,87.17562499999998,896.489375,4.646875,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trayveon Williams,RB,CLE,0.0,0.0,83.74285714285715,0.0,16.94285714285714,108.85714285714283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
