name,position,team,pass_yds,pass_td,rush_yds,rush_td,rec,rec_yds,rec_td,return_td,off_fumble_return_td,two_pt,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50_plus,pat_made,def_td,def_safety,def_return_td,def_xp_returned,def_points_allowed
D'Onta Foreman,RB,TEN,0.0,0.0,566.0,3.0,9.0,123.0,0.0,0.0,0,0.0,,,,,,,,,,,
DJ Moore,WR,CAR,0.0,0.0,48.0,0.0,93.0,1157.0,4.0,0.0,0,1.0,,,,,,,,,,,
DK Metcalf,WR,SEA,0.0,0.0,6.0,0.0,75.0,967.0,12.0,0.0,0,0.0,,,,,,,,,,,
Dak Prescott,QB,DAL,4449.0,37.0,146.0,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Dallas Cowboys,DEF,DAL,,,,,,,,,,,,,,,,,0,0,0,0,358.0
Dalvin Cook,RB,MIN,0.0,0.0,1159.0,6.0,34.0,224.0,0.0,0.0,0,1.0,,,,,,,,,,,
Damien Harris,RB,NE,0.0,0.0,929.0,15.0,18.0,132.0,0.0,0.0,0,0.0,,,,,,,,,,,
Damien Williams,RB,CHI,0.0,0.0,164.0,2.0,16.0,103.0,1.0,0.0,0,0.0,,,,,,,,,,,
Damiere Byrd,WR,CHI,0.0,0.0,0.0,0.0,26.0,329.0,1.0,0.0,0,1.0,,,,,,,,,,,
Daniel Carlson,K,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,10.0,12.0,12.0,6.0,30.0,,,,,
Danny Amendola,WR,HOU,0.0,0.0,0.0,0.0,24.0,248.0,3.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Dare Ogunbowale,RB,JAX,0.0,0.0,137.0,1.0,13.0,114.0,1.0,0.0,0,0.0,,,,,,,,,,,
Darius Slayton,WR,NYG,0.0,0.0,-13.0,0.0,26.0,339.0,2.0,0.0,0,0.0,,,,,,,,,,,
Darnell Mooney,WR,CHI,0.0,0.0,32.0,1.0,81.0,1055.0,4.0,0.0,0,0.0,,,,,,,,,,,
Darrel Williams,RB,KC,0.0,0.0,558.0,6.0,47.0,452.0,2.0,0.0,0,0.0,,,,,,,,,,,
Darren Waller,TE,LV,0.0,0.0,0.0,0.0,55.0,665.0,2.0,0.0,0,0.0,,,,,,,,,,,
David Blough,QB,DET,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
David Johnson,RB,HOU,0.0,0.0,228.0,0.0,32.0,225.0,1.0,0.0,0,0.0,,,,,,,,,,,
David Montgomery,RB,CHI,0.0,0.0,849.0,7.0,42.0,301.0,0.0,0.0,0,0.0,,,,,,,,,,,
David Njoku,TE,CLE,0.0,0.0,1.0,0.0,36.0,475.0,4.0,0.0,0,0.0,,,,,,,,,,,
Davis Mills,QB,HOU,2664.0,16.0,44.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,
Dawson Knox,TE,BUF,0.0,0.0,4.0,0.0,49.0,587.0,9.0,0.0,0,0.0,,,,,,,,,,,
Dax Milne,WR,WSH,0.0,0.0,1.0,0.0,9.0,83.0,0.0,0.0,0,0.0,,,,,,,,,,,
DeAndre Carter,WR,WSH,0.0,0.0,89.0,0.0,24.0,296.0,3.0,1.0,0,0.0,,,,,,,,,,,
DeSean Jackson,WR,LV,0.0,0.0,4.0,0.0,20.0,454.0,2.0,0.0,0,0.0,,,,,,,,,,,
DeVante Parker,WR,MIA,0.0,0.0,0.0,0.0,40.0,515.0,2.0,0.0,0,0.0,,,,,,,,,,,
Dede Westbrook,WR,MIN,0.0,0.0,0.0,0.0,10.0,68.0,0.0,0.0,0,0.0,,,,,,,,,,,
Dee Eskridge,WR,SEA,0.0,0.0,59.0,0.0,10.0,64.0,1.0,0.0,0,0.0,,,,,,,,,,,
DeeJay Dallas,RB,SEA,0.0,0.0,138.0,2.0,21.0,133.0,0.0,0.0,0,0.0,,,,,,,,,,,
Deebo Samuel,WR,SF,24.0,1.0,365.0,8.0,77.0,1405.0,6.0,0.0,0,0.0,,,,,,,,,,,
Demarcus Robinson,WR,KC,0.0,0.0,0.0,0.0,25.0,264.0,3.0,0.0,0,0.0,,,,,,,,,,,
Demetric Felton,RB,CLE,0.0,0.0,24.0,0.0,18.0,181.0,2.0,0.0,0,0.0,,,,,,,,,,,
Denver Broncos,DEF,DEN,,,,,,,,,,,,,,,,,0,0,0,0,322.0
Denzel Mims,WR,NYJ,0.0,0.0,0.0,0.0,8.0,133.0,0.0,0.0,0,0.0,,,,,,,,,,,
Deon Jackson,RB,IND,0.0,0.0,31.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Deonte Harty,WR,NO,0.0,0.0,41.0,0.0,36.0,570.0,3.0,0.0,0,0.0,,,,,,,,,,,
Derek Carr,QB,LV,4804.0,23.0,108.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Derrick Gore,RB,KC,0.0,0.0,256.0,2.0,8.0,105.0,0.0,0.0,0,0.0,,,,,,,,,,,
Derrick Henry,RB,TEN,5.0,1.0,937.0,10.0,18.0,154.0,0.0,0.0,0,1.0,,,,,,,,,,,
Detroit Lions,DEF,DET,,,,,,,,,,,,,,,,,0,0,0,0,467.0
Devin Duvernay,WR,BAL,0.0,0.0,50.0,0.0,33.0,272.0,2.0,0.0,0,0.0,,,,,,,,,,,
Devin Singletary,RB,BUF,0.0,0.0,870.0,7.0,40.0,228.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Devonta Freeman,RB,BAL,0.0,0.0,576.0,5.0,34.0,190.0,1.0,0.0,0,0.0,,,,,,,,,,,
Devontae Booker,RB,NYG,0.0,0.0,593.0,2.0,40.0,268.0,1.0,0.0,0,0.0,,,,,,,,,,,
Dez Fitzpatrick,WR,TEN,0.0,0.0,0.0,0.0,5.0,49.0,1.0,0.0,0,0.0,,,,,,,,,,,
Diontae Johnson,WR,PIT,0.0,0.0,53.0,0.0,107.0,1161.0,8.0,0.0,0,1.0,,,,,,,,,,,
Dominik Eberle,K,HOU,,,,0.0,,,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,,,,,
Donovan Peoples-Jones,WR,CLE,0.0,0.0,0.0,0.0,34.0,597.0,3.0,0.0,0,0.0,,,,,,,,,,,
Dontrell Hilliard,RB,TEN,0.0,0.0,350.0,2.0,19.0,87.0,0.0,0.0,0,0.0,,,,,,,,,,,
Drew Lock,QB,DEN,787.0,2.0,53.0,2.0,1.0,1.0,0.0,0.0,0,0.0,,,,,,,,,,,
Drew Sample,TE,CIN,0.0,0.0,0.0,0.0,11.0,81.0,0.0,0.0,0,0.0,,,,,,,,,,,
Duke Johnson,RB,MIA,0.0,0.0,330.0,3.0,4.0,41.0,0.0,0.0,0,0.0,,,,,,,,,,,
Durham Smythe,TE,MIA,0.0,0.0,3.0,0.0,34.0,357.0,0.0,0.0,0,0.0,,,,,,,,,,,
Dustin Hopkins,K,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,8.0,6.0,13.0,2.0,40.0,,,,,
Dwayne Washington,RB,NO,0.0,0.0,16.0,0.0,2.0,12.0,0.0,0.0,0,0.0,,,,,,,,,,,
Dyami Brown,WR,WSH,0.0,0.0,-4.0,0.0,12.0,165.0,0.0,0.0,0,0.0,,,,,,,,,,,
Eddy Pineiro,K,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,2.0,3.0,1.0,9.0,,,,,
Elijah Mitchell,RB,SF,0.0,0.0,963.0,5.0,19.0,137.0,1.0,0.0,0,0.0,,,,,,,,,,,
Elijhaa Penny,RB,NYG,0.0,0.0,99.0,1.0,9.0,30.0,1.0,0.0,0,1.0,,,,,,,,,,,
Elliott Fry,K,CIN,,,,0.0,,,0.0,0.0,0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,,,,,
Emmanuel Sanders,WR,BUF,0.0,0.0,31.0,0.0,42.0,626.0,4.0,0.0,0,0.0,,,,,,,,,,,
Eno Benjamin,RB,ARI,0.0,0.0,118.0,1.0,6.0,42.0,0.0,0.0,0,0.0,,,,,,,,,,,
Equanimeous St. Brown,WR,GB,0.0,0.0,14.0,0.0,9.0,98.0,0.0,0.0,0,0.0,,,,,,,,,,,
Eric Saubert,TE,DEN,0.0,0.0,0.0,0.0,8.0,47.0,1.0,0.0,0,0.0,,,,,,,,,,,
Evan Engram,TE,NYG,0.0,0.0,-3.0,0.0,46.0,408.0,3.0,0.0,0,0.0,,,,,,,,,,,
Evan McPherson,K,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,8.0,6.0,9.0,46.0,,,,,
Ezekiel Elliott,RB,DAL,4.0,0.0,1002.0,10.0,47.0,287.0,2.0,0.0,0,3.0,,,,,,,,,,,
Feleipe Franks,TE,ATL,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Foster Moreau,TE,LV,0.0,0.0,0.0,0.0,30.0,373.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Freddie Swain,WR,SEA,0.0,0.0,32.0,0.0,25.0,343.0,4.0,0.0,0,0.0,,,,,,,,,,,
Gabe Davis,WR,BUF,0.0,0.0,0.0,0.0,35.0,549.0,6.0,0.0,0,0.0,,,,,,,,,,,
Gardner Minshew II,QB,PHI,439.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Garrett Gilbert,QB,WSH,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Garrett Griffin,TE,NO,,,,0.0,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Geno Smith,QB,SEA,702.0,5.0,42.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Geoff Swaim,TE,TEN,0.0,0.0,0.0,0.0,31.0,210.0,3.0,0.0,0,0.0,,,,,,,,,,,
George Kittle,TE,SF,0.0,0.0,20.0,0.0,71.0,910.0,6.0,0.0,0,0.0,,,,,,,,,,,
Gerald Everett,TE,SEA,0.0,0.0,20.0,0.0,48.0,478.0,4.0,0.0,0,0.0,,,,,,,,,,,
Godwin Igwebuike,RB,DET,0.0,0.0,118.0,1.0,7.0,60.0,0.0,0.0,0,0.0,,,,,,,,,,,
Graham Gano,K,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,12.0,5.0,7.0,17.0,,,,,
Green Bay Packers,DEF,GB,,,,,,,,,,,,,,,,,0,0,0,0,371.0
Greg Dortch,WR,ARI,0.0,0.0,24.0,0.0,3.0,15.0,0.0,0.0,0,0.0,,,,,,,,,,,
Greg Joseph,K,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,8.0,11.0,7.0,7.0,36.0,,,,,
Greg Ward,WR,PHI,2.0,0.0,0.0,0.0,7.0,95.0,3.0,0.0,0,0.0,,,,,,,,,,,
Greg Zuerlein,K,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,15.0,7.0,2.0,42.0,,,,,
Gunner Olszewski,WR,NE,0.0,0.0,9.0,0.0,2.0,31.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Harrison Bryant,TE,CLE,0.0,0.0,0.0,0.0,21.0,233.0,3.0,0.0,0,0.0,,,,,,,,,,,
Harrison Butker,K,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,11.0,4.0,7.0,47.0,,,,,
Hayden Hurst,TE,ATL,0.0,0.0,0.0,0.0,26.0,221.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Hollywood Brown,WR,BAL,0.0,0.0,5.0,0.0,91.0,1008.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Houston Texans,DEF,HOU,,,,,,,,,,,,,,,,,0,0,0,0,452.0
Hunter Henry,TE,NE,0.0,0.0,0.0,0.0,50.0,603.0,9.0,0.0,0,0.0,,,,,,,,,,,
Hunter Renfrow,WR,LV,0.0,0.0,3.0,0.0,103.0,1038.0,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Ian Book,QB,NO,135.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Ian Thomas,TE,CAR,0.0,0.0,0.0,0.0,18.0,188.0,0.0,0.0,0,0.0,,,,,,,,,,,
Ihmir Smith-Marsette,WR,MIN,0.0,0.0,0.0,0.0,5.0,116.0,2.0,0.0,0,0.0,,,,,,,,,,,
Indianapolis Colts,DEF,IND,,,,,,,,,,,,,,,,,0,0,0,0,365.0
Isaiah Ford,WR,MIA,0.0,0.0,0.0,0.0,12.0,161.0,2.0,0.0,0,0.0,,,,,,,,,,,
Isaiah McKenzie,WR,BUF,0.0,0.0,47.0,1.0,20.0,178.0,1.0,0.0,0,0.0,,,,,,,,,,,
J.J. Taylor,RB,NE,0.0,0.0,37.0,2.0,4.0,8.0,0.0,0.0,0,0.0,,,,,,,,,,,
Ja'Marcus Bradley,WR,CLE,0.0,0.0,0.0,0.0,4.0,64.0,0.0,0.0,0,0.0,,,,,,,,,,,
Ja'Marr Chase,WR,CIN,0.0,0.0,21.0,0.0,81.0,1455.0,13.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
JaMycal Hasty,RB,SF,0.0,0.0,68.0,1.0,23.0,157.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Jack Doyle,TE,IND,0.0,0.0,0.0,0.0,29.0,302.0,3.0,0.0,0,1.0,,,,,,,,,,,
Jacksonville Jaguars,DEF,JAX,,,,,,,,,,,,,,,,,0,0,0,0,457.0
Jacob Eason,QB,SEA,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jacob Hollister,TE,JAX,0.0,0.0,0.0,0.0,9.0,55.0,1.0,0.0,0,0.0,,,,,,,,,,,
Jacoby Brissett,QB,MIA,1283.0,5.0,70.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jaelon Darden,WR,TB,0.0,0.0,11.0,0.0,6.0,43.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jake Elliott,K,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7.0,10.0,10.0,3.0,44.0,,,,,
Jake Fromm,QB,NYG,210.0,1.0,65.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jakobi Meyers,WR,NE,45.0,0.0,9.0,0.0,83.0,866.0,2.0,0.0,0,2.0,,,,,,,,,,,
Jalen Guyton,WR,LAC,0.0,0.0,34.0,0.0,31.0,448.0,3.0,0.0,0,0.0,,,,,,,,,,,
Jalen Hurts,QB,PHI,3144.0,16.0,784.0,10.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Jalen Reagor,WR,PHI,0.0,0.0,32.0,0.0,33.0,299.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Jalen Richard,RB,LV,0.0,0.0,40.0,0.0,12.0,72.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jamaal Williams,RB,DET,0.0,0.0,601.0,3.0,26.0,157.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jamal Agnew,WR,JAX,,,,1.0,,,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
James Conner,RB,ARI,0.0,0.0,752.0,15.0,37.0,375.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
James O'Shaughnessy,TE,JAX,0.0,0.0,0.0,0.0,24.0,244.0,0.0,0.0,0,1.0,,,,,,,,,,,
James Proche II,WR,BAL,0.0,0.0,0.0,0.0,16.0,202.0,0.0,0.0,0,0.0,,,,,,,,,,,
James Robinson,RB,JAX,,,,8.0,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Jamison Crowder,WR,NYJ,0.0,0.0,0.0,0.0,51.0,447.0,2.0,0.0,0,1.0,,,,,,,,,,,
Jared Cook,TE,LAC,0.0,0.0,0.0,0.0,48.0,564.0,4.0,0.0,0,2.0,,,,,,,,,,,
Jared Goff,QB,DET,3245.0,19.0,87.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jaret Patterson,RB,WSH,0.0,0.0,266.0,2.0,10.0,73.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jason Huntley,RB,PHI,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jason Moore,WR,LAC,0.0,0.0,0.0,0.0,3.0,56.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jason Myers,K,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,9.0,3.0,3.0,44.0,,,,,
Jason Sanders,K,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.0,7.0,8.0,2.0,34.0,,,,,
Jauan Jennings,WR,SF,0.0,0.0,0.0,0.0,24.0,282.0,5.0,0.0,0,0.0,,,,,,,,,,,
Javonte Williams,RB,DEN,0.0,0.0,903.0,4.0,43.0,316.0,3.0,0.0,0,0.0,,,,,,,,,,,
Jeff Smith,WR,NYJ,0.0,0.0,-1.0,0.0,8.0,113.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jeff Wilson Jr.,RB,SF,0.0,0.0,294.0,2.0,7.0,31.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jerick McKinnon,RB,KC,0.0,0.0,62.0,0.0,13.0,107.0,1.0,0.0,0,0.0,,,,,,,,,,,
Jermar Jefferson,RB,DET,0.0,0.0,74.0,2.0,4.0,23.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jerry Jeudy,WR,DEN,0.0,0.0,3.0,0.0,38.0,467.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jesse James,TE,CHI,0.0,0.0,0.0,0.0,7.0,62.0,1.0,0.0,0,0.0,,,,,,,,,,,
Jimmy Garoppolo,QB,LAR,3810.0,20.0,51.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Jimmy Graham,TE,CHI,0.0,0.0,0.0,0.0,14.0,167.0,3.0,0.0,0,1.0,,,,,,,,,,,
Joe Burrow,QB,CIN,4611.0,34.0,118.0,2.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Joe Flacco,QB,NYJ,338.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Joe Mixon,RB,CIN,0.0,0.0,1205.0,13.0,42.0,314.0,3.0,0.0,0,0.0,,,,,,,,,,,
Joey Slye,K,WSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,9.0,5.0,5.0,4.0,18.0,,,,,
John Bates,TE,WSH,0.0,0.0,0.0,0.0,20.0,249.0,1.0,0.0,0,0.0,,,,,,,,,,,
John Ross,WR,NYG,0.0,0.0,16.0,0.0,11.0,224.0,1.0,0.0,0,0.0,,,,,,,,,,,
John Wolford,QB,LAR,5.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
