name,position,team,games_played,pass_yds,pass_td,pass_att,pass_cmp,pass_int,rush_yds,rush_td,carries,rec,rec_yds,rec_td,targets,return_td,off_fumble_return_td,two_pt,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50_plus,fg_60_plus,pat_made,def_td,def_safety,def_return_td,def_xp_returned,def_points_allowed
A.J. Brown,WR,TEN,16,0,0,0,0,0,60,1,3,52,1051,8,84,0,0,0,0,0,0,0,0,0,0,,,,,
AJ McCarron,QB,HOU,2,225,0,37,21,1,39,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Aaron Jones,RB,GB,16,0,0,0,0,0,1084,16,236,49,474,3,68,0,0,0,0,0,0,0,0,0,0,,,,,
Aaron Rodgers,QB,GB,16,4002,26,569,353,4,183,1,46,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,,,,
Adam Humphries,WR,TEN,12,0,0,0,0,0,1,0,1,37,374,2,47,0,0,0,0,0,0,0,0,0,0,,,,,
Adam Shaheen,TE,CHI,7,0,0,0,0,0,0,0,0,9,74,0,13,0,0,1,0,0,0,0,0,0,0,,,,,
Adam Thielen,WR,MIN,10,0,0,0,0,0,6,1,4,30,418,6,48,0,0,0,0,0,0,0,0,0,0,,,,,
Adam Vinatieri,K,IND,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,2,0,22,,,,,
Adrian Peterson,RB,WAS,15,0,0,0,0,0,898,5,211,17,142,0,23,0,0,0,0,0,0,0,0,0,0,,,,,
Albert Wilson,WR,MIA,13,20,0,2,1,0,45,0,5,43,351,1,62,0,0,0,0,0,0,0,0,0,0,,,,,
Aldrick Rosas,K,NYG,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,0,0,35,,,,,
Alex Armah,RB,CAR,8,0,0,0,0,0,11,1,6,2,6,0,2,0,0,0,0,0,0,0,0,0,0,,,,,
Alex Erickson,WR,CIN,16,26,0,1,1,0,33,0,5,43,529,0,78,0,0,0,0,0,0,0,0,0,0,,,,,
Alex Tanney,QB,NYG,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Alexander Hollins,WR,MIN,2,0,0,0,0,0,0,0,0,2,46,0,4,0,0,0,0,0,0,0,0,0,0,,,,,
Alexander Mattison,RB,MIN,13,0,0,0,0,0,462,1,100,10,82,0,12,0,0,0,0,0,0,0,0,0,0,,,,,
Alfred Morris,RB,ARI,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Allen Hurns,WR,MIA,14,0,0,0,0,0,0,0,0,32,416,2,47,0,0,0,0,0,0,0,0,0,0,,,,,
Allen Lazard,WR,GB,12,0,0,0,0,0,21,0,1,35,477,3,52,0,0,0,0,0,0,0,0,0,0,,,,,
Allen Robinson,WR,CHI,16,0,0,0,0,0,2,0,1,98,1147,7,154,0,0,0,0,0,0,0,0,0,0,,,,,
Alshon Jeffery,WR,PHI,9,0,0,0,0,0,2,1,1,43,490,4,73,0,0,0,0,0,0,0,0,0,0,,,,,
Alvin Kamara,RB,NO,14,13,0,1,1,0,797,5,171,81,533,1,97,0,0,0,0,0,0,0,0,0,0,,,,,
Amari Cooper,WR,DAL,16,0,0,0,0,0,6,0,1,79,1189,8,119,0,0,0,0,0,0,0,0,0,0,,,,,
Ameer Abdullah,RB,MIN,15,0,0,0,0,0,115,0,23,15,88,1,21,0,0,0,0,0,0,0,0,0,0,,,,,
Andre Patton,WR,LAC,8,0,0,0,0,0,0,0,0,6,56,0,17,0,0,0,0,0,0,0,0,0,0,,,,,
Andre Roberts,WR,BUF,13,0,0,0,0,0,7,0,1,3,20,0,7,0,0,0,0,0,0,0,0,0,0,,,,,
Andy Dalton,QB,CIN,13,3494,16,528,314,14,73,4,32,1,-4,0,1,0,0,2,0,0,0,0,0,0,0,,,,,
Andy Isabella,WR,ARI,12,0,0,0,0,0,15,0,4,9,189,1,13,0,0,0,0,0,0,0,0,0,0,,,,,
Anthony Firkser,TE,TEN,10,0,0,0,0,0,0,0,0,14,204,1,24,0,0,0,0,0,0,0,0,0,0,,,,,
Anthony Miller,WR,CHI,16,0,0,0,0,0,-1,0,1,52,656,2,85,0,0,0,0,0,0,0,0,0,0,,,,,
Antonio Brown,WR,NE,1,0,0,0,0,0,5,0,1,4,56,1,8,0,0,0,0,0,0,0,0,0,0,,,,,
Antonio Callaway,WR,CLE,4,0,0,0,0,0,0,0,0,8,89,0,15,0,0,0,0,0,0,0,0,0,0,,,,,
Antony Auclair,TE,TB,5,0,0,0,0,0,0,0,0,1,11,0,3,0,0,0,0,0,0,0,0,0,0,,,,,
Arizona Cardinals,DEF,ARI,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,442.0
Ashton Dulin,WR,IND,8,0,0,0,0,0,0,0,0,2,17,0,2,0,0,0,0,0,0,0,0,0,0,,,,,
Atlanta Falcons,DEF,ATL,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,399.0
Auden Tate,WR,CIN,12,0,0,0,0,0,0,0,0,40,575,1,80,0,0,0,0,0,0,0,0,0,0,,,,,
Austin Carr,WR,NO,2,0,0,0,0,0,0,0,0,1,9,0,4,0,0,0,0,0,0,0,0,0,0,,,,,
Austin Ekeler,RB,LAC,16,0,0,0,0,0,557,3,132,92,993,8,108,0,0,0,0,0,0,0,0,0,0,,,,,
Austin Hooper,TE,ATL,13,0,0,0,0,0,0,0,0,75,787,6,97,0,0,1,0,0,0,0,0,0,0,,,,,
Austin Seibert,K,CLE,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,9,1,0,30,,,,,
Baker Mayfield,QB,CLE,16,3827,22,534,317,21,141,3,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
Baltimore Ravens,DEF,BAL,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,282.0
Ben Braunecker,TE,CHI,5,0,0,0,0,0,0,0,0,6,59,1,11,0,0,0,0,0,0,0,0,0,0,,,,,
Ben Koyack,TE,JAX,3,0,0,0,0,0,0,0,0,1,9,0,3,0,0,0,0,0,0,0,0,0,0,,,,,
Ben Roethlisberger,QB,PIT,2,351,0,62,35,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Benjamin Watson,TE,NE,9,0,0,0,0,0,0,0,0,17,173,0,24,0,0,0,0,0,0,0,0,0,0,,,,,
Bennie Fowler,WR,NYG,8,0,0,0,0,0,20,0,1,23,193,0,36,0,0,1,0,0,0,0,0,0,0,,,,,
Benny Snell,RB,PIT,11,0,0,0,0,0,426,2,108,3,23,0,4,0,0,0,0,0,0,0,0,0,0,,,,,
Bilal Powell,RB,NYJ,12,0,0,1,0,0,229,0,59,7,33,0,12,0,0,0,0,0,0,0,0,0,0,,,,,
Bisi Johnson,WR,MIN,13,0,0,0,0,0,6,0,1,31,294,3,45,0,0,0,0,0,0,0,0,0,0,,,,,
Blake Bell,TE,KC,14,0,0,0,0,0,0,0,0,8,67,0,15,0,0,0,0,0,0,0,0,0,0,,,,,
Blake Bortles,QB,LA,2,3,0,2,1,0,-9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Blake Jarwin,TE,DAL,15,0,0,0,0,0,0,0,0,31,365,3,41,0,0,0,0,0,0,0,0,0,0,,,,,
Bo Scarbrough,RB,DET,6,0,0,0,0,0,377,1,89,1,5,0,4,0,0,0,0,0,0,0,0,0,0,,,,,
Bobo Wilson,WR,TB,6,0,0,0,0,0,0,0,0,3,35,0,11,0,0,0,0,0,0,0,0,0,0,,,,,
Boston Scott,RB,PHI,9,0,0,0,0,0,245,5,61,24,204,0,26,0,0,0,0,0,0,0,0,0,0,,,,,
Brandin Cooks,WR,LA,14,0,0,0,0,0,52,0,6,42,583,2,72,0,0,0,0,0,0,0,0,0,0,,,,,
Brandon Allen,QB,DEN,3,515,3,84,39,2,39,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
