name,position,team,round,pick,overall
Cam Ward,QB,TEN,1,1,1
Ashton Jeanty,RB,LV,1,6,6
Tetairoa McMillan,WR,CAR,1,8,8
Colston Loveland,TE,CHI,1,10,10
Tyler Warren,TE,IND,1,14,14
Emeka Egbuka,WR,TB,1,19,19
Omarion Hampton,RB,LAC,1,22,22
Matthew Golden,WR,GB,1,23,23
Jaxson Dart,QB,NYG,1,25,25
Jayden Higgins,WR,HOU,2,2,34
Quinshon Judkins,RB,CLE,2,4,36
TreVeyon Henderson,RB,NE,2,6,38
Luther Burden III,WR,CHI,2,7,39
Tyler Shough,QB,NO,2,8,40
Mason Taylor,TE,NYJ,2,10,42
Terrance Ferguson,TE,LAR,2,14,46
Elijah Arroyo,TE,SEA,2,18,50
Tre Harris,WR,LAC,2,23,55
Jack Bech,WR,LV,2,26,58
RJ Harvey,RB,DEN,2,28,60
Harold Fannin Jr.,TE,CLE,3,3,67
Kyle Williams,WR,NE,3,5,69
Isaac TeSlaa,WR,DET,3,6,70
Pat Bryant,WR,DEN,3,10,74
Jaylin Noel,WR,HOU,3,15,79
Kaleb Johnson,RB,PIT,3,19,83
Savion Williams,WR,GB,3,23,87
Jalen Milroe,QB,SEA,3,28,92
Dillon Gabriel,QB,CLE,3,30,94
Tai Felton,WR,MIN,3,38,102
Chimere Dike,WR,TEN,4,1,103
Bhayshul Tuten,RB,JAX,4,2,104
Cam Skattebo,RB,NYG,4,3,105
Dont'e Thornton Jr.,WR,LV,4,6,108
Arian Smith,WR,NYJ,4,8,110
Trevor Etienne,RB,CAR,4,12,114
Woody Marks,RB,HOU,4,14,116
Jarquez Hunter,RB,LAR,4,15,117
Gunnar Helm,TE,TEN,4,18,120
Dylan Sampson,RB,CLE,4,24,126
Jaylin Lane,WR,WSH,4,26,128
Jalen Royals,WR,KC,4,31,133
Elic Ayomanor,WR,TEN,4,34,136
Jordan Watkins,WR,SF,4,36,138
Shedeur Sanders,QB,CLE,5,6,144
Jordan James,RB,SF,5,9,147
Jaydon Blue,RB,DAL,5,12,149
DJ Giddens,RB,IND,5,14,151
KeAndre Lambert-Smith,WR,LAC,5,22,158
Mitchell Evans,TE,CAR,5,27,163
Oronde Gadsden II,TE,LAC,5,29,165
Tory Horton,WR,SEA,5,30,166
Jackson Hawes,TE,BUF,5,37,173
Robbie Ouzts,TE,SEA,5,39,175
Ollie Gordon II,RB,MIA,6,3,179
Kyle McCord,QB,PHI,6,5,181
Andres Borregales,K,NE,6,6,182
Devin Neal,RB,NO,6,8,184
Will Howard,QB,PIT,6,9,185
Tyler Loop,K,BAL,6,10,186
Kalel Mullings,RB,TEN,6,12,188
Riley Leonard,QB,IND,6,13,189
Tahj Brooks,RB,CIN,6,17,193
Graham Mertz,QB,HOU,6,21,197
Gavin Bartholomew,TE,MIN,6,26,202
LaJohntay Wester,WR,BAL,6,27,203
Jimmy Horn Jr.,WR,CAR,6,32,208
Tommy Mellott,WR,LV,6,37,213
Cam Miller,QB,LV,6,39,215
Thomas Fidone II,TE,NYG,7,3,219
Damien Martinez,RB,SEA,7,7,223
Kurtis Rourke,QB,SF,7,11,227
Brashard Smith,RB,KC,7,12,228
Quinn Ewers,QB,MIA,7,15,231
Kyle Monangai,RB,CHI,7,17,233
Tez Johnson,WR,TB,7,19,235
LeQuint Allen,RB,JAX,7,20,236
Ricky White III,WR,SEA,7,22,238
Phil Mafah,RB,DAL,7,23,239
Kaden Prather,WR,BUF,7,24,240
Caleb Lohner,TE,DEN,7,25,241
Konata Mumpfield,WR,LAR,7,26,242
Dominic Lovett,WR,DET,7,28,244
Jacory Croskey-Merritt,RB,WSH,7,29,245
Moliki Matavao,TE,NO,7,32,248
Junior Bergen,WR,SF,7,36,252
Luke Lachey,TE,HOU,7,39,255
