name,position,team,games_played,pass_yds,pass_td,pass_att,pass_cmp,pass_int,rush_yds,rush_td,carries,rec,rec_yds,rec_td,targets,return_td,off_fumble_return_td,two_pt,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50_plus,fg_60_plus,pat_made,def_td,def_safety,def_return_td,def_xp_returned,def_points_allowed
Quentin Johnston,WR,LAC,15,0,0,0,0,0,6,0,3,55,711,8,91,0,0,0,0,0,0,0,0,0,0,,,,,
Quintin Morris,TE,BUF,10,0,0,0,0,0,0,0,0,5,36,1,8,0,0,0,0,0,0,0,0,0,0,,,,,
Rachaad White,RB,TB,15,0,0,0,0,0,613,3,144,51,393,6,57,0,0,0,0,0,0,0,0,0,0,,,,,
Raheem Blackshear,RB,CAR,16,0,0,0,0,0,80,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Raheem Mostert,RB,MIA,13,0,0,0,0,0,278,2,85,19,161,0,23,0,0,0,0,0,0,0,0,0,0,,,,,
Rakim Jarrett,WR,TB,8,0,0,0,0,0,0,0,0,9,124,0,11,0,0,0,0,0,0,0,0,0,0,,,,,
Ramel Keyton,WR,LV,3,0,0,0,0,0,0,0,0,1,7,0,3,0,0,0,0,0,0,0,0,0,0,,,,,
Rashee Rice,WR,KC,4,0,0,0,0,0,1,0,1,24,288,2,29,0,0,0,0,0,0,0,0,0,0,,,,,
Rasheen Ali,RB,BAL,5,0,0,0,0,0,31,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,
Rashid Shaheed,WR,NO,6,0,0,0,0,0,29,0,6,20,349,3,41,1,0,0,0,0,0,0,0,0,0,,,,,
Rashod Bateman,WR,BAL,16,0,0,0,0,0,0,0,0,45,756,9,72,0,0,0,0,0,0,0,0,0,0,,,,,
Ray Davis,RB,BUF,17,0,0,0,0,0,442,3,113,17,189,3,19,0,0,0,0,0,0,0,0,0,0,,,,,
Ray-Ray McCloud,WR,ATL,17,0,0,0,0,0,79,0,10,62,686,1,87,0,0,0,0,0,0,0,0,0,0,,,,,
Reggie Gilliam,RB,BUF,7,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Rhamondre Stevenson,RB,NE,15,0,0,0,0,0,801,7,207,33,168,1,41,0,0,2,0,0,0,0,0,0,0,,,,,
Ricky Pearsall,WR,SF,11,0,0,1,0,0,45,0,3,31,400,3,46,0,0,0,0,0,0,0,0,0,0,,,,,
Rico Dowdle,RB,DAL,16,0,0,0,0,0,1079,2,235,39,249,3,49,0,0,0,0,0,0,0,0,0,0,,,,,
Riley Patterson,K,ATL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,16,,,,,
River Cracraft,WR,MIA,5,0,0,0,0,0,0,0,0,7,66,0,9,0,0,0,0,0,0,0,0,0,0,,,,,
Robbie Chosen,WR,MIA,1,0,0,0,0,0,0,0,0,1,5,0,4,0,0,0,0,0,0,0,0,0,0,,,,,
Robert Woods,WR,HOU,14,0,0,0,0,0,0,0,0,20,203,0,30,0,0,0,0,0,0,0,0,0,0,,,,,
Rod Williams,TE,PIT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Rome Odunze,WR,CHI,17,0,0,0,0,0,15,0,3,54,734,3,101,0,0,0,0,0,0,0,0,0,0,,,,,
Romeo Doubs,WR,GB,13,0,0,0,0,0,0,0,0,46,601,4,72,0,0,1,0,0,0,0,0,0,0,,,,,
Ronnie Bell,WR,SF,4,0,0,0,0,0,0,0,0,2,22,0,6,0,0,0,0,0,0,0,0,0,0,,,,,
Ronnie Rivers,RB,LA,6,0,0,0,0,0,99,0,22,5,34,0,6,0,0,0,0,0,0,0,0,0,0,,,,,
Roschon Johnson,RB,CHI,13,0,0,0,0,0,150,6,55,16,104,0,20,0,0,0,0,0,0,0,0,0,0,,,,,
Ross Dwelley,TE,ATL,4,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
Russell Wilson,QB,PIT,11,2482,16,336,214,5,155,2,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Ryan Flournoy,WR,DAL,9,0,0,0,0,0,0,0,0,10,102,0,14,0,0,0,0,0,0,0,0,0,0,,,,,
Ryan Miller,WR,TB,9,0,0,0,0,0,0,0,0,12,128,2,20,0,0,0,0,0,0,0,0,0,0,,,,,
Sam Darnold,QB,MIN,17,4319,35,545,361,12,212,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Sam Howell,QB,SEA,1,24,0,14,5,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Sam LaPorta,TE,DET,16,0,0,0,0,0,0,0,0,60,726,7,83,0,0,0,0,0,0,0,0,0,0,,,,,
Samaje Perine,RB,KC,17,0,0,0,0,0,92,1,20,28,322,1,35,0,0,0,0,0,0,0,0,0,0,,,,,
San Francisco 49ers,DEF,SF,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,436.0
Saquon Barkley,RB,PHI,16,0,0,0,0,0,2005,13,345,33,278,2,43,0,0,3,0,0,0,0,0,0,0,,,,,
Scott Miller,WR,PIT,6,0,0,0,0,0,0,0,0,5,69,0,9,0,0,0,0,0,0,0,0,0,0,,,,,
Sean Tucker,RB,TB,17,0,0,0,0,0,308,2,50,9,109,1,12,0,0,0,0,0,0,0,0,0,0,,,,,
Seattle Seahawks,DEF,SEA,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,368.0
Shane Zylstra,TE,DET,2,0,0,0,0,0,0,0,0,1,22,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
Simi Fehoko,WR,LAC,6,0,0,0,0,0,0,0,0,6,106,0,16,0,0,0,0,0,0,0,0,0,0,,,,,
Sincere McCormick,RB,LV,4,0,0,0,0,0,183,0,39,6,29,0,7,0,0,0,0,0,0,0,0,0,0,,,,,
Sione Vaki,RB,DET,9,0,0,0,0,0,14,0,6,3,37,0,3,0,0,0,0,0,0,0,0,0,0,,,,,
Skylar Thompson,QB,MIA,2,187,0,33,21,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Skyy Moore,WR,KC,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,
Spencer Rattler,QB,NO,7,1317,4,228,130,5,146,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Spencer Shrader,K,KC,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,9,,,,,
Stefon Diggs,WR,HOU,8,13,0,1,1,0,8,1,3,47,496,3,64,0,0,0,0,0,0,0,0,0,0,,,,,
Stephen Sullivan,TE,CAR,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
Sterling Shepard,WR,TB,13,0,0,0,0,0,69,0,8,32,334,1,51,0,0,1,0,0,0,0,0,0,0,,,,,
Steven Sims,WR,BAL,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Stone Smartt,TE,LAC,9,0,0,0,0,0,0,0,0,16,208,0,19,0,0,0,0,0,0,0,0,0,0,,,,,
T.J. Hockenson,TE,MIN,10,0,0,0,0,0,0,0,0,41,455,0,62,0,0,0,0,0,0,0,0,0,0,,,,,
Tampa Bay Buccaneers,DEF,TB,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,385.0
Tank Bigsby,RB,JAX,16,0,0,0,0,0,766,7,168,7,54,0,12,0,0,0,0,0,0,0,0,0,0,,,,,
Tank Dell,WR,HOU,14,0,0,0,0,0,43,0,9,51,667,3,81,0,0,0,0,0,0,0,0,0,0,,,,,
Tanner Conner,TE,MIA,4,0,0,0,0,0,0,0,0,3,16,0,4,0,0,0,0,0,0,0,0,0,0,,,,,
Tanner Hudson,TE,CIN,9,0,0,0,0,0,1,0,1,19,154,1,23,0,0,0,0,0,0,0,0,0,0,,,,,
