timestamp,date_raw,team,type,player_added_raw,player_added_resolved,player_added_nfl_team,player_added_pos,player_dropped_raw,player_dropped_resolved,player_dropped_nfl_team,player_dropped_pos,counterparty_team,raw_line
2025-09-10T18:17:00,"Sep 10, 6:17pm",Redskins,waiver,J.J. McCarthy,J.J. McCarthy,MIN,QB,Brock Purdy,Brock Purdy,SF,QB,,"J.J. McCarthy Min-QB Q (Free Agent) / Brock Purdy SF-QB (To Free Agent) — Redskins — Sep 10, 6:17pm"
2025-09-10T18:30:00,"Sep 10, 6:30pm",Hoofers,waiver,Marquise Brown,Marquise Brown,PHI,WR,Xavier Worthy,Xavier Worthy,KC,WR,,"Hollywood Brown Phi-WR (Free Agent) / Xavier Worthy KC-WR Q (To Free Agent) — Hoofers — Sep 10, 6:30pm"
2025-09-10T18:31:00,"Sep 10, 6:31pm",Hoofers,waiver,Javonte Williams,Javonte Williams,DAL,RB,Austin Ekeler,Austin Ekeler,WAS,RB,,"Javonte Williams Dal-RB Q (Free Agent) / Austin Ekeler Was-RB NA (To Free Agent) — Hoofers — Sep 10, 6:31pm"
2025-09-10T18:55:00,"Sep 10, 6:55pm",Cardinals,waiver,DeVonta Smith,DeVonta Smith,PHI,WR,Jerry Jeudy,Jerry Jeudy,CLE,WR,,"DeVonta Smith Phi-WR (Free Agent) / Jerry Jeudy Cle-WR Q (To Free Agent) — Cardinals — Sep 10, 6:55pm"
2025-09-10T18:56:00,"Sep 10, 6:56pm",Cardinals,waiver,Rashee Rice,Rashee Rice,KC,WR,Chris Olave,Chris Olave,NO,WR,,"Rashee Rice KC-WR Q (Free Agent) / Chris Olave NO-WR Q (To Free Agent) — Cardinals — Sep 10, 6:56pm"
2025-09-10T19:40:00,"Sep 10, 7:40pm",Greendawgs,waiver,Quinshon Judkins,Quinshon Judkins,CLE,RB,Cooper Kupp,Cooper Kupp,SEA,WR,,"Quinshon Judkins Cle-RB Q (Free Agent) / Cooper Kupp Sea-WR (To Free Agent) — Greendawgs — Sep 10, 7:40pm"
2025-09-10T19:45:00,"Sep 10, 7:45pm",Just Bout Dat Action,waiver,Chad Ryland,Chad Ryland,ARI,K,Tyler Bass,,BUF,K,,"Chad Ryland Ari-K (Free Agent) / Tyler Bass Buf-K Q (To Free Agent) — Just Bout Dat Action — Sep 10, 7:45pm"
2025-09-10T22:12:00,"Sep 10, 10:12pm",Elite,waiver,,,,,Drake Maye,Drake Maye,NE,QB,,"Drake Maye NE-QB (To Free Agent) — Elite — Sep 10, 10:12pm"
2025-09-10T22:15:00,"Sep 10, 10:15pm",Elite,waiver,T.J. Hockenson,T.J. Hockenson,MIN,TE,,,,,,"T.J. Hockenson Min-TE Q — Elite — Sep 10, 10:15pm"
2025-09-10T22:36:00,"Sep 10, 10:36pm",Sportos,waiver,Hunter Henry,Hunter Henry,NE,TE,George Kittle,George Kittle,SF,TE,,"Hunter Henry NE-TE (Free Agent) / George Kittle SF-TE PUP-P (To Free Agent) — Sportos — Sep 10, 10:36pm"
2025-09-10T22:42:00,"Sep 10, 10:42pm",Sportos,waiver,San Francisco 49ers,San Francisco 49ers,SF,DEF,Philadelphia Eagles,Philadelphia Eagles,PHI,DEF,,"49ers SF-DEF (Free Agent) / Eagles Phi-DEF (To Free Agent) — Sportos — Sep 10, 10:42pm"
2025-09-17T16:59:00,"Sep 17, 4:59pm",Redskins,waiver,Spencer Shrader,Spencer Shrader,IND,K,Younghoe Koo,Younghoe Koo,NYG,K,,"Spencer Shrader Ind-K Q (Free Agent) / Younghoe Koo NYG-K NA (To Free Agent) — Redskins — Sep 17, 4:59pm"
2025-09-17T17:00:00,"Sep 17, 5:00pm",Redskins,waiver,Sam Darnold,Sam Darnold,SEA,QB,J.J. McCarthy,J.J. McCarthy,MIN,QB,,"Sam Darnold Sea-QB (Free Agent) / J.J. McCarthy Min-QB Q (To Free Agent) — Redskins — Sep 17, 5:00pm"
2025-09-17T17:00:00,"Sep 17, 5:00pm",Redskins,waiver,Drake Maye,Drake Maye,NE,QB,Justin Fields,Justin Fields,KC,QB,,"Drake Maye NE-QB (Free Agent) / Justin Fields KC-QB Q (To Free Agent) — Redskins — Sep 17, 5:00pm"
2025-09-17T18:32:00,"Sep 17, 6:32pm",Let's Ride,waiver,Trevor Lawrence,Trevor Lawrence,JAX,QB,Joe Burrow,Joe Burrow,CIN,QB,,"Trevor Lawrence Jax-QB (Free Agent) / Joe Burrow Cin-QB (To Free Agent) — Let's Ride — Sep 17, 6:32pm"
2025-09-17T18:33:00,"Sep 17, 6:33pm",Let's Ride,waiver,Seattle Seahawks,Seattle Seahawks,SEA,DEF,Los Angeles Rams,Los Angeles Rams,LA,DEF,,"Seahawks Sea-DEF (Free Agent) / Rams LAR-DEF (To Free Agent) — Let's Ride — Sep 17, 6:33pm"
2025-09-17T18:34:00,"Sep 17, 6:34pm",Let's Ride,waiver,Jauan Jennings,Jauan Jennings,MIN,WR,Jayden Reed,Jayden Reed,GB,WR,,"Jauan Jennings Min-WR (Free Agent) / Jayden Reed GB-WR (To Free Agent) — Let's Ride — Sep 17, 6:34pm"
2025-09-17T18:35:00,"Sep 17, 6:35pm",Let's Ride,waiver,Justin Fields,Justin Fields,KC,QB,Aaron Jones Sr.,Aaron Jones,MIN,RB,,"Justin Fields KC-QB Q (Free Agent) / Aaron Jones Sr. Min-RB Q (To Free Agent) — Let's Ride — Sep 17, 6:35pm"
2025-09-17T18:53:00,"Sep 17, 6:53pm",Sportos,waiver,Zach Ertz,Zach Ertz,WAS,TE,Hunter Henry,Hunter Henry,NE,TE,,"Zach Ertz Was-TE NA (Free Agent) / Hunter Henry NE-TE (To Free Agent) — Sportos — Sep 17, 6:53pm"
2025-09-17T18:55:00,"Sep 17, 6:55pm",Sportos,waiver,Jordan Mason,Jordan Mason,MIN,RB,RJ Harvey,RJ Harvey,DEN,RB,,"Jordan Mason Min-RB (Free Agent) / RJ Harvey Den-RB Q (To Free Agent) — Sportos — Sep 17, 6:55pm"
2025-09-17T19:00:00,"Sep 17, 7:00pm",Sportos,waiver,Matt Prater,Matt Prater,BUF,K,Harrison Butker,Harrison Butker,KC,K,,"Matt Prater Buf-K NA (Free Agent) / Harrison Butker KC-K (To Free Agent) — Sportos — Sep 17, 7:00pm"
2025-09-17T19:04:00,"Sep 17, 7:04pm",Sportos,waiver,Indianapolis Colts,Indianapolis Colts,IND,DEF,San Francisco 49ers,San Francisco 49ers,SF,DEF,,"Colts Ind-DEF (Free Agent) / 49ers SF-DEF (To Free Agent) — Sportos — Sep 17, 7:04pm"
2025-09-17T19:10:00,"Sep 17, 7:10pm",Cardinals,waiver,Xavier Worthy,Xavier Worthy,KC,WR,Calvin Ridley,Calvin Ridley,TEN,WR,,"Xavier Worthy KC-WR Q (Free Agent) / Calvin Ridley Ten-WR Q (To Free Agent) — Cardinals — Sep 17, 7:10pm"
2025-09-17T20:07:00,"Sep 17, 8:07pm",Wildcard,waiver,Keenan Allen,Keenan Allen,LAC,WR,Ladd McConkey,Ladd McConkey,LAC,WR,,"Keenan Allen LAC-WR NA (Free Agent) / Ladd McConkey LAC-WR Q (To Free Agent) — Wildcard — Sep 17, 8:07pm"
2025-09-17T21:33:00,"Sep 17, 9:33pm",Elite,waiver,,,,,T.J. Hockenson,T.J. Hockenson,MIN,TE,,"T.J. Hockenson Min-TE Q (To Free Agent) — Elite — Sep 17, 9:33pm"
